C,cv_logloss
0.001,0.6931471805599453
0.0012154742500762859,0.6931471805599453
0.0014773776525985112,0.6931471805599453
0.001795714494371641,0.6931471805599453
0.0021826447283974874,0.6931471805599453
0.0026529484644318944,0.6931471805599453
0.0032245905452963947,0.6931471805599453
0.003919406774847221,0.6931471805599453
0.004763938010401341,0.6931471805599453
0.005790443980602483,0.6931471805599453
0.007038135554931555,0.6931471805599453
0.008554672535565685,0.6931471805599453
0.0103979841848149,0.6931471805599453
0.012638482029342977,0.6931471805599453
0.015361749466718281,0.6931471805599453
0.018671810912919196,0.6931471805599453
0.022695105366946685,0.6931471805599453
0.027585316176291827,0.6931471805599453
0.033529241492495566,0.6931438615081522
0.040753929658717755,0.5857582083893081
0.0495353520895917,0.4894472132517268
0.060208944933361284,0.41187641524078134
0.07318242219076174,0.35061004391240685
0.08895134973108232,0.3000140087910911
0.10811807510766078,0.256668548898601
0.13141473626117553,0.21804739338904025
0.1597312280060254,0.18106678478920157
0.19414919457438817,0.15081655487875972
0.23598334667821938,0.12535896762537685
0.2868316813342009,0.10394456044461842
0.34863652276780843,0.08642734080511248
0.4237587160604063,0.07198420114815997
0.5150678076168121,0.060211013790451504
0.6260516572014815,0.050402989501071985
0.7609496685459876,0.04219187189692902
0.9249147277217336,0.035461969499546324
1.1242100350620863,0.029649725185547697
1.3664483492953243,0.02516573170484433
1.6608827826277148,0.021213848412542348
2.018760254679039,0.017930339050477213
2.4537511066398165,0.015212527340404302
2.982471286216888,0.012890799606066589
3.6251170499885315,0.011016278250253028
4.406236427773573,0.009496620785164042
5.3556669177068965,0.008162548642538302
6.509675230458164,0.00720553299384496
7.912342618981318,0.006278303358388452
9.617248711152964,0.0049065346477450015
11.689518164985776,0.004607986052058548
14.208308325339209,0.004054605400541624
17.269832906594324,0.0032505710419579214
20.991037201085547,0.0027262076598172677
25.514065200312874,0.0025488606827732603
31.011689265747755,0.001802655127061644
37.69390975388363,0.0014550614255467163
45.81597669054491,0.001490476440814849
55.68813990945267,0.0011305454418447792
67.68750009458527,0.001020566444160762
82.27241341700457,0.0007207854546583538
100.0,0.0009168586493610671
