gene,score,direction,meanLFC,LFC_GSE130437,LFC_GSE222367,LFC_GSE229235,consistent
MAPK8IP2,9.259781124852923e-06,Up,3.638495769287529,3.0581879650378356,3.3304729389352214,4.52682640388953,True
MYO5B,5.143034232315554e-05,Down,-2.800623808238562,-1.4173993153672744,-4.27142753162437,-2.7130445777240424,True
ADGRB1,8.135557085083722e-05,Up,3.20851132248295,1.0896551885123347,4.1206412870814875,4.415237491855027,True
DDX60L,0.00016055965418738282,Up,2.854446669954678,4.136275719950859,0.8283612251477457,3.59870306476543,True
KLF13,0.0001785522554394317,Up,2.992894551189336,1.7603693302816357,1.9139932626943617,5.304321060592011,True
SPTSSB,0.00029274596779560805,Down,-3.881435988700927,-1.391876151421305,-5.989186740329026,-4.263245074352451,True
TMSB10,0.00036646384450862306,Up,1.8561903807641225,1.0798669129350162,2.550480964420289,1.938223264937062,True
MMP16,0.00036646384450862306,Down,-2.742667559833644,-1.9170866776186222,-2.1557661848856435,-4.1551498169966665,True
PLEKHA7,0.0005144032921810698,Down,-1.7014174728000349,-1.112966996608892,-2.574471552041226,-1.4168138697499861,True
NCKAP5,0.0006282001587813621,Down,-2.010891961215237,-2.626052970043956,-2.0612256443553694,-1.345397269246386,True
FADS3,0.0006652184237688716,Up,1.9892120422709947,0.223595971683541,3.1063874694693334,2.6376526856601092,True
DOC2B,0.0006784019404340158,Up,2.05911852129152,1.6482726416695903,1.908683130094867,2.6203997921101023,True
IGFBP3,0.0007320048768039009,Up,2.4336439283687374,5.016962119436294,2.0414636892135025,0.24250597645641572,True
PID1,0.0008081707641593383,Up,2.2947032145459927,1.3449590719227782,3.322920143171299,2.216230428543901,True
ABCG2,0.0009389006446891782,Down,-2.3868952434578854,-1.9413762609022944,-2.249411727068763,-2.969897742402598,True
PARP12,0.0010457209522775266,Up,2.0202715614393654,2.807576436285954,1.233308520971373,2.0199297270607697,True
RNF152,0.001173061289669825,Down,-2.7949008883130477,-1.2891891116161498,-3.6028389099977574,-3.4926746433252354,True
RIPPLY3,0.0013113099409019452,Down,-1.4739717356577067,-1.846258381426762,-2.4157541209977915,-0.15990270454856553,True
CASP4,0.0013113099409019452,Up,2.1653040194828908,3.137132701355051,0.6581383772288151,2.7006409798648057,True
ISG15,0.001441851354450139,Up,3.7141444860954436,2.7421007021133588,3.5179853754734793,4.8823473806994935,True
TET1,0.0014552651911253376,Down,-1.6732053961575566,-1.556701749730194,-0.2637155111438231,-3.199198927598652,True
SLC1A1,0.0014638906703354432,Up,3.27712751828877,5.134612354257614,0.9284991407982721,3.768271059810423,True
MAL2,0.0014638906703354432,Down,-3.233985630906075,-0.3038676078275093,-7.296606577270285,-2.1014827076204314,True
SH3TC1,0.0014735227017204904,Up,2.6292525445616315,1.2739152637037572,2.6049075484506465,4.008934821530491,True
LAMB1,0.0015490095167072291,Up,2.711807104225579,2.9096480241680354,2.5339698919256026,2.691803396583099,True
MYADM,0.0016290875603135343,Up,2.1639012322969946,0.6945576345018739,1.2872446535595983,4.509901408829512,True
