predicted,observed,n
0.13910506360430258,0.14271223625341156,200
0.17108142318389868,0.20843092650770167,199
0.19596253753303744,0.16855758834967094,199
0.22871457114739482,0.23519059192666947,199
0.33424605263529955,0.30810045548607323,199
