threshold,full,treat_all,clinical
0.02,0.19629320203131662,0.19629320203131662,0.19629320203131662
0.03,0.18800756493885598,0.18800756493885598,0.18800756493885598
0.04,0.17954931040696906,0.17954931040696906,0.17954931040696906
0.05,0.17091298735862137,0.17091298735862137,0.17091298735862137
0.06,0.1620929127560535,0.1620929127560535,0.1620929127560535
0.07,0.1530831591297745,0.1530831591297745,0.1530831591297745
0.08,0.14387754129422858,0.14387754129422858,0.14387754129422858
0.09,0.13446960218757176,0.13446960218757176,0.13446960218757176
0.1,0.12485259776743365,0.12485259776743365,0.12485259776743365
0.11,0.11501948088841606,0.11501948088841606,0.11501948088841606
0.12,0.10525642872941268,0.10496288408032989,0.10510964498436993
0.13,0.09294826613038427,0.09467510113872447,0.09379433116201068
0.14,0.08180824356787889,0.0841480674310352,0.0828516799748933
0.15,0.07341531727849462,0.07337333881257682,0.0745310970848341
0.16,0.06902089622840335,0.06234206903653605,0.06922608019679884
0.17,0.06030145550183205,0.05104498553095213,0.06174441824397904
0.18,0.048043404046748076,0.03947236340328086,0.049085290540442875
0.19,0.03082212340780764,0.027613997519370742,0.03522427130467859
0.2,0.0314685604808507,0.015459172488362871,0.031569449920233195
0.21,0.03413248013771804,0.0029966303679624107,0.03500312067613966
0.22,0.030172782184096372,-0.009785464114499626,0.03371554828694348
0.23,0.02734956135321248,-0.022899561051051565,0.028859438956466865
0.24,0.022257422920077354,-0.036358765801723286,0.023803984498966764
0.25,0.016168540202826473,-0.050176882679079604,0.014727869922013567
0.26,0.017203157917404198,-0.06436846217474285,0.017277509614504555
0.27,0.020374195603701083,-0.07894885206754759,0.019630932300006794
0.28,0.0183070703841084,-0.09393425279070794,0.0211464450946238
0.29,0.020100796123136873,-0.10934177747790097,0.022198656557114074
0.3,0.01948938894281243,-0.12518951715615673,0.01948938894281243
0.31,0.018767827790770075,-0.14149661160769522,0.018767827790770075
0.32,0.01802504425190294,-0.15828332648427906,0.01802504425190294
0.33,0.017260088070084553,-0.175571137327328,0.017260088070084553
0.34,0.01647195139790803,-0.1933828212262269,0.01647195139790803
0.35,0.015659564366587622,-0.21174255693739946,0.015659564366587622
0.36,0.014821790240538445,-0.23067603438954642,0.014821790240538445
0.37,0.013957420110487707,-0.2502105746179519,0.013957420110487707
0.38,0.013065167073015978,-0.2703752613053383,0.013065167073015978
0.39,0.011794396555778183,-0.2912010852611635,0.012798412620035199
0.4,0.009508923539960305,-0.3127211033488496,0.00945189426436395
