term,overlap,set_size,query_size,p,genes,FDR,fold,direction,library
Response To Lipid (GO:0033993),3,76,264,0.22357084570416255,ABCG1;F2R;S100A9,0.5464847011168285,1.8382177033492824,Up,GO_BP
Negative Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001960),2,42,264,0.2277303358505589,ISG15;NLRC5,0.5464847011168285,2.2175324675324677,Up,GO_BP
Positive Regulation Of Interleukin-6 Production (GO:0032755),2,42,264,0.2277303358505589,F2R;WNT5A,0.5464847011168285,2.2175324675324677,Up,GO_BP
Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042058),2,42,264,0.2277303358505589,IFI6;MVP,0.5464847011168285,2.2175324675324677,Up,GO_BP
Dendritic Spine Morphogenesis (GO:0060997),1,12,264,0.22941983605201224,SHANK3,0.5464847011168285,3.8806818181818183,Up,GO_BP
Regulation Of Muscle Contraction (GO:0006937),1,12,264,0.22941983605201224,TNNT1,0.5464847011168285,3.8806818181818183,Up,GO_BP
Negative Regulation Of Nucleocytoplasmic Transport (GO:0046823),1,12,264,0.22941983605201224,SP100,0.5464847011168285,3.8806818181818183,Up,GO_BP
Negative Regulation Of Lipid Storage (GO:0010888),1,12,264,0.22941983605201224,ABCG1,0.5464847011168285,3.8806818181818183,Up,GO_BP
Negative Regulation Of Interleukin-6 Production (GO:0032715),1,12,264,0.22941983605201224,TNFAIP3,0.5464847011168285,3.8806818181818183,Up,GO_BP
Negative Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902236),1,12,264,0.22941983605201224,CREB3L1,0.5464847011168285,3.8806818181818183,Up,GO_BP
Negative Regulation Of Hippo Signaling (GO:0035331),1,12,264,0.22941983605201224,MAP2K3,0.5464847011168285,3.8806818181818183,Up,GO_BP
Detection Of Mechanical Stimulus (GO:0050982),1,12,264,0.22941983605201224,PKD1,0.5464847011168285,3.8806818181818183,Up,GO_BP
Regulation Of Reactive Oxygen Species Biosynthetic Process (GO:1903426),1,12,264,0.22941983605201224,ADGRB1,0.5464847011168285,3.8806818181818183,Up,GO_BP
Intracellular Sterol Transport (GO:0032366),1,12,264,0.22941983605201224,ABCG1,0.5464847011168285,3.8806818181818183,Up,GO_BP
Cardiac Ventricle Development (GO:0003231),1,12,264,0.22941983605201224,STRA6,0.5464847011168285,3.8806818181818183,Up,GO_BP
Negative Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900025),1,12,264,0.22941983605201224,SPRY4,0.5464847011168285,3.8806818181818183,Up,GO_BP
Positive Regulation Of Immune System Process (GO:0002684),1,12,264,0.22941983605201224,RSAD2,0.5464847011168285,3.8806818181818183,Up,GO_BP
Prostaglandin Biosynthetic Process (GO:0001516),1,12,264,0.22941983605201224,TBXAS1,0.5464847011168285,3.8806818181818183,Up,GO_BP
Keratan Sulfate Metabolic Process (GO:0042339),1,12,264,0.22941983605201224,CHST1,0.5464847011168285,3.8806818181818183,Up,GO_BP
Regulation Of Exit From Mitosis (GO:0007096),1,12,264,0.22941983605201224,CDC14B,0.5464847011168285,3.8806818181818183,Up,GO_BP
"Chemical Synaptic Transmission, Postsynaptic (GO:0099565)",1,12,264,0.22941983605201224,MAPK8IP2,0.5464847011168285,3.8806818181818183,Up,GO_BP
Positive Regulation Of mRNA Metabolic Process (GO:1903313),1,12,264,0.22941983605201224,PRR5L,0.5464847011168285,3.8806818181818183,Up,GO_BP
Regulation Of Neural Precursor Cell Proliferation (GO:2000177),1,12,264,0.22941983605201224,NES,0.5464847011168285,3.8806818181818183,Up,GO_BP
Regulation Of Transforming Growth Factor Beta Production (GO:0071634),1,12,264,0.22941983605201224,SERPINF2,0.5464847011168285,3.8806818181818183,Up,GO_BP
Phosphate Ion Transport (GO:0006817),1,12,264,0.22941983605201224,SLC37A3,0.5464847011168285,3.8806818181818183,Up,GO_BP
Positive Regulation Of Activated T Cell Proliferation (GO:0042104),1,12,264,0.22941983605201224,IL18,0.5464847011168285,3.8806818181818183,Up,GO_BP
Response To Organophosphorus (GO:0046683),1,12,264,0.22941983605201224,STAT1,0.5464847011168285,3.8806818181818183,Up,GO_BP
Positive Regulation Of Amyloid-Beta Formation (GO:1902004),1,12,264,0.22941983605201224,ABCG1,0.5464847011168285,3.8806818181818183,Up,GO_BP
Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains (GO:0002460),1,12,264,0.22941983605201224,IL18,0.5464847011168285,3.8806818181818183,Up,GO_BP
T Cell Mediated Immunity (GO:0002456),1,12,264,0.22941983605201224,HLA-A,0.5464847011168285,3.8806818181818183,Up,GO_BP
3'-UTR-mediated mRNA Destabilization (GO:0061158),1,12,264,0.22941983605201224,PLEKHN1,0.5464847011168285,3.8806818181818183,Up,GO_BP
Regulation Of Cartilage Development (GO:0061035),1,12,264,0.22941983605201224,PTHLH,0.5464847011168285,3.8806818181818183,Up,GO_BP
Microvillus Organization (GO:0032528),1,12,264,0.22941983605201224,TNIK,0.5464847011168285,3.8806818181818183,Up,GO_BP
Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway (GO:0002484),1,12,264,0.22941983605201224,HLA-A,0.5464847011168285,3.8806818181818183,Up,GO_BP
"Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway, TAP-independent (GO:0002486)",1,12,264,0.22941983605201224,HLA-A,0.5464847011168285,3.8806818181818183,Up,GO_BP
Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class Ib (GO:0002476),1,12,264,0.22941983605201224,HLA-A,0.5464847011168285,3.8806818181818183,Up,GO_BP
Protein Localization To Mitochondrion (GO:0070585),1,12,264,0.22941983605201224,ISG15,0.5464847011168285,3.8806818181818183,Up,GO_BP
Negative Regulation Of Viral Transcription (GO:0032897),1,12,264,0.22941983605201224,IFITM3,0.5464847011168285,3.8806818181818183,Up,GO_BP
Adipose Tissue Development (GO:0060612),1,12,264,0.22941983605201224,SOX8,0.5464847011168285,3.8806818181818183,Up,GO_BP
Smooth Muscle Contraction (GO:0006939),1,12,264,0.22941983605201224,BDKRB2,0.5464847011168285,3.8806818181818183,Up,GO_BP
Positive Regulation Of Alpha-Beta T Cell Activation (GO:0046635),1,12,264,0.22941983605201224,HLA-A,0.5464847011168285,3.8806818181818183,Up,GO_BP
Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),1,12,264,0.22941983605201224,S100A9,0.5464847011168285,3.8806818181818183,Up,GO_BP
Aorta Morphogenesis (GO:0035909),1,12,264,0.22941983605201224,ADAMTS9,0.5464847011168285,3.8806818181818183,Up,GO_BP
Aspartate Family Amino Acid Metabolic Process (GO:0009066),1,12,264,0.22941983605201224,NAT8L,0.5464847011168285,3.8806818181818183,Up,GO_BP
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class Ib (GO:0002428),1,12,264,0.22941983605201224,HLA-A,0.5464847011168285,3.8806818181818183,Up,GO_BP
Cell Junction Organization (GO:0034330),2,43,264,0.2356954426437084,L1CAM;SNCG,0.5464847011168285,2.1659619450317127,Up,GO_BP
Rho Protein Signal Transduction (GO:0007266),2,43,264,0.2356954426437084,ARHGDIG;TNFRSF25,0.5464847011168285,2.1659619450317127,Up,GO_BP
Cell-Cell Junction Organization (GO:0045216),2,43,264,0.2356954426437084,F2R;MYADM,0.5464847011168285,2.1659619450317127,Up,GO_BP
Negative Regulation Of Neuron Apoptotic Process (GO:0043524),2,43,264,0.2356954426437084,F2R;NRBP2,0.5464847011168285,2.1659619450317127,Up,GO_BP
Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242),2,43,264,0.2356954426437084,BBC3;S100A9,0.5464847011168285,2.1659619450317127,Up,GO_BP
Monocarboxylic Acid Biosynthetic Process (GO:0072330),2,43,264,0.2356954426437084,ALDH1A3;OSBPL6,0.5464847011168285,2.1659619450317127,Up,GO_BP
Positive Regulation Of Cell Motility (GO:2000147),5,154,264,0.23646115585502206,F2R;FAM83H;LAMB1;MYADM;SEMA3B,0.5464847011168285,1.5119539551357735,Up,GO_BP
Anterograde Trans-Synaptic Signaling (GO:0098916),3,79,264,0.2406702408028304,APBA2;SLC1A1;SNCG,0.5464847011168285,1.7684119677790566,Up,GO_BP
Positive Regulation Of Cell Growth (GO:0030307),3,79,264,0.2406702408028304,L1CAM;MFSD2A;S100A9,0.5464847011168285,1.7684119677790566,Up,GO_BP
Regulation Of Mitotic Nuclear Division (GO:0007088),2,44,264,0.24367579723041244,BMP7;BTC,0.5464847011168285,2.116735537190083,Up,GO_BP
Cellular Response To Inorganic Substance (GO:0071241),1,13,264,0.2459833569185053,GUCY1B1,0.5464847011168285,3.582167832167832,Up,GO_BP
Regulation Of Smooth Muscle Contraction (GO:0006940),1,13,264,0.2459833569185053,F2R,0.5464847011168285,3.582167832167832,Up,GO_BP
Response To BMP (GO:0071772),1,13,264,0.2459833569185053,BMP7,0.5464847011168285,3.582167832167832,Up,GO_BP
Positive Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0045737),1,13,264,0.2459833569185053,PKD1,0.5464847011168285,3.582167832167832,Up,GO_BP
Potassium Ion Import Across Plasma Membrane (GO:1990573),1,13,264,0.2459833569185053,KCNH2,0.5464847011168285,3.582167832167832,Up,GO_BP
Gliogenesis (GO:0042063),1,13,264,0.2459833569185053,METRN,0.5464847011168285,3.582167832167832,Up,GO_BP
Neural Crest Cell Differentiation (GO:0014033),1,13,264,0.2459833569185053,SOX8,0.5464847011168285,3.582167832167832,Up,GO_BP
Cellular Response To dsRNA (GO:0071359),1,13,264,0.2459833569185053,IFIT1,0.5464847011168285,3.582167832167832,Up,GO_BP
Cellular Response To Arsenic-Containing Substance (GO:0071243),1,13,264,0.2459833569185053,MKNK2,0.5464847011168285,3.582167832167832,Up,GO_BP
Inositol Phosphate-Mediated Signaling (GO:0048016),1,13,264,0.2459833569185053,NFATC1,0.5464847011168285,3.582167832167832,Up,GO_BP
Positive Regulation Of Leukocyte Migration (GO:0002687),1,13,264,0.2459833569185053,ADAM8,0.5464847011168285,3.582167832167832,Up,GO_BP
NAD Biosynthetic Process (GO:0009435),1,13,264,0.2459833569185053,NMNAT2,0.5464847011168285,3.582167832167832,Up,GO_BP
Regulation Of Postsynaptic Membrane Potential (GO:0060078),1,13,264,0.2459833569185053,MAPK8IP2,0.5464847011168285,3.582167832167832,Up,GO_BP
Negative Regulation Of Focal Adhesion Assembly (GO:0051895),1,13,264,0.2459833569185053,PHLDB2,0.5464847011168285,3.582167832167832,Up,GO_BP
Activation Of Cysteine-Type Endopeptidase Activity (GO:0097202),1,13,264,0.2459833569185053,CASP8,0.5464847011168285,3.582167832167832,Up,GO_BP
Phosphatidylcholine Biosynthetic Process (GO:0006656),1,13,264,0.2459833569185053,MFSD2A,0.5464847011168285,3.582167832167832,Up,GO_BP
Amyloid Precursor Protein Catabolic Process (GO:0042987),1,13,264,0.2459833569185053,ABCG1,0.5464847011168285,3.582167832167832,Up,GO_BP
Actin Filament Capping (GO:0051693),1,13,264,0.2459833569185053,SVIL,0.5464847011168285,3.582167832167832,Up,GO_BP
Negative Regulation Of Cell-Substrate Junction Organization (GO:0150118),1,13,264,0.2459833569185053,PHLDB2,0.5464847011168285,3.582167832167832,Up,GO_BP
Negative Regulation Of Interleukin-2 Production (GO:0032703),1,13,264,0.2459833569185053,TNFAIP3,0.5464847011168285,3.582167832167832,Up,GO_BP
Negative Regulation Of Amyloid-Beta Formation (GO:1902430),1,13,264,0.2459833569185053,BIN1,0.5464847011168285,3.582167832167832,Up,GO_BP
Heart Trabecula Morphogenesis (GO:0061384),1,13,264,0.2459833569185053,BMP7,0.5464847011168285,3.582167832167832,Up,GO_BP
Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043567),1,13,264,0.2459833569185053,IGFBP3,0.5464847011168285,3.582167832167832,Up,GO_BP
Chondroitin Sulfate Metabolic Process (GO:0030204),1,13,264,0.2459833569185053,CHPF2,0.5464847011168285,3.582167832167832,Up,GO_BP
Regulation Of Monocyte Chemotaxis (GO:0090025),1,13,264,0.2459833569185053,NBL1,0.5464847011168285,3.582167832167832,Up,GO_BP
Endothelial Cell Proliferation (GO:0001935),1,13,264,0.2459833569185053,NOX5,0.5464847011168285,3.582167832167832,Up,GO_BP
Regulation Of Receptor Recycling (GO:0001919),1,13,264,0.2459833569185053,OPTN,0.5464847011168285,3.582167832167832,Up,GO_BP
Heart Contraction (GO:0060047),1,13,264,0.2459833569185053,KCNH2,0.5464847011168285,3.582167832167832,Up,GO_BP
Negative Regulation Of Calcium Ion Transmembrane Transport (GO:1903170),1,13,264,0.2459833569185053,BIN1,0.5464847011168285,3.582167832167832,Up,GO_BP
Negative Regulation Of Biomineral Tissue Development (GO:0070168),1,13,264,0.2459833569185053,ECM1,0.5464847011168285,3.582167832167832,Up,GO_BP
Barbed-End Actin Filament Capping (GO:0051016),1,13,264,0.2459833569185053,SVIL,0.5464847011168285,3.582167832167832,Up,GO_BP
Oligodendrocyte Differentiation (GO:0048709),1,13,264,0.2459833569185053,SOX8,0.5464847011168285,3.582167832167832,Up,GO_BP
Regulation Of ERBB Signaling Pathway (GO:1901184),1,13,264,0.2459833569185053,IFI6,0.5464847011168285,3.582167832167832,Up,GO_BP
Microvillus Assembly (GO:0030033),1,13,264,0.2459833569185053,TNIK,0.5464847011168285,3.582167832167832,Up,GO_BP
Regulation Of T Cell Cytokine Production (GO:0002724),1,13,264,0.2459833569185053,HLA-A,0.5464847011168285,3.582167832167832,Up,GO_BP
Monocarboxylic Acid Catabolic Process (GO:0072329),1,13,264,0.2459833569185053,LPIN2,0.5464847011168285,3.582167832167832,Up,GO_BP
Cardiac Muscle Contraction (GO:0060048),1,13,264,0.2459833569185053,KCNH2,0.5464847011168285,3.582167832167832,Up,GO_BP
Modulation Of Excitatory Postsynaptic Potential (GO:0098815),1,13,264,0.2459833569185053,SHANK3,0.5464847011168285,3.582167832167832,Up,GO_BP
Negative Regulation Of Multicellular Organismal Process (GO:0051241),5,157,264,0.24845782560163274,F2R;ID1;PTCH1;RAB11FIP5;TNNT1,0.5464847011168285,1.4830631152287204,Up,GO_BP
Golgi To Plasma Membrane Transport (GO:0006893),2,45,264,0.2516670902433368,OPTN;OSBPL5,0.5464847011168285,2.06969696969697,Up,GO_BP
Regulation Of Interleukin-8 Production (GO:0032677),2,45,264,0.2516670902433368,F2R;KLF4,0.5464847011168285,2.06969696969697,Up,GO_BP
Regulation Of Protein Localization To Nucleus (GO:1900180),2,45,264,0.2516670902433368,DTX3L;LIF,0.5464847011168285,2.06969696969697,Up,GO_BP
Post-Translational Protein Modification (GO:0043687),2,45,264,0.2516670902433368,PARP12;UBE2F,0.5464847011168285,2.06969696969697,Up,GO_BP
Positive Regulation Of Cellular Component Organization (GO:0051130),3,81,264,0.25218889894819285,BIK;BMP7;SHANK3,0.5464847011168285,1.7247474747474747,Up,GO_BP
Metal Ion Transport (GO:0030001),3,81,264,0.25218889894819285,KCNMA1;PKD1;RAMP1,0.5464847011168285,1.7247474747474747,Up,GO_BP
Positive Regulation Of Cysteine-Type Endopeptidase Activity (GO:2001056),2,46,264,0.259665189013119,CASP8;F2R,0.5464847011168285,2.024703557312253,Up,GO_BP
Regulation Of BMP Signaling Pathway (GO:0030510),2,46,264,0.259665189013119,GPR155;NBL1,0.5464847011168285,2.024703557312253,Up,GO_BP
Positive Regulation Of T Cell Migration (GO:2000406),1,14,264,0.26219216676896645,WNT5A,0.5464847011168285,3.3262987012987013,Up,GO_BP
Defense Response To Gram-negative Bacterium (GO:0050829),1,14,264,0.26219216676896645,OPTN,0.5464847011168285,3.3262987012987013,Up,GO_BP
Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway (GO:1901028),1,14,264,0.26219216676896645,SLC35F6,0.5464847011168285,3.3262987012987013,Up,GO_BP
Cellular Response To Low-Density Lipoprotein Particle Stimulus (GO:0071404),1,14,264,0.26219216676896645,TICAM1,0.5464847011168285,3.3262987012987013,Up,GO_BP
Transepithelial Transport (GO:0070633),1,14,264,0.26219216676896645,SLC1A1,0.5464847011168285,3.3262987012987013,Up,GO_BP
Phosphatidylserine Metabolic Process (GO:0006658),1,14,264,0.26219216676896645,OSBPL5,0.5464847011168285,3.3262987012987013,Up,GO_BP
Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:1902229),1,14,264,0.26219216676896645,NACC2,0.5464847011168285,3.3262987012987013,Up,GO_BP
Positive Regulation Of Nuclear Division (GO:0051785),1,14,264,0.26219216676896645,BTC,0.5464847011168285,3.3262987012987013,Up,GO_BP
Regulation Of Regulatory T Cell Differentiation (GO:0045589),1,14,264,0.26219216676896645,IRF1,0.5464847011168285,3.3262987012987013,Up,GO_BP
Heterotypic Cell-Cell Adhesion (GO:0034113),1,14,264,0.26219216676896645,ITGA5,0.5464847011168285,3.3262987012987013,Up,GO_BP
Intracellular Cholesterol Transport (GO:0032367),1,14,264,0.26219216676896645,ABCG1,0.5464847011168285,3.3262987012987013,Up,GO_BP
Regulation Of Smooth Muscle Cell Migration (GO:0014910),1,14,264,0.26219216676896645,IGFBP3,0.5464847011168285,3.3262987012987013,Up,GO_BP
Cellular Response To Interleukin-6 (GO:0071354),1,14,264,0.26219216676896645,PID1,0.5464847011168285,3.3262987012987013,Up,GO_BP
Positive Regulation Of Immune Effector Process (GO:0002699),1,14,264,0.26219216676896645,DDX60,0.5464847011168285,3.3262987012987013,Up,GO_BP
Negative Regulation Of Viral-Induced Cytoplasmic Pattern Recognition Receptor Signaling Pathway (GO:0039532),1,14,264,0.26219216676896645,TNFAIP3,0.5464847011168285,3.3262987012987013,Up,GO_BP
Glycerolipid Catabolic Process (GO:0046503),1,14,264,0.26219216676896645,PLA2G4C,0.5464847011168285,3.3262987012987013,Up,GO_BP
Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0030947),1,14,264,0.26219216676896645,ITGA5,0.5464847011168285,3.3262987012987013,Up,GO_BP
Limb Morphogenesis (GO:0035108),1,14,264,0.26219216676896645,PTCH1,0.5464847011168285,3.3262987012987013,Up,GO_BP
Protein Autoprocessing (GO:0016540),1,14,264,0.26219216676896645,CASP4,0.5464847011168285,3.3262987012987013,Up,GO_BP
Regulation Of Cholesterol Transport (GO:0032374),1,14,264,0.26219216676896645,OSBPL6,0.5464847011168285,3.3262987012987013,Up,GO_BP
Positive Regulation Of MAPK Cascade (GO:0043410),5,161,264,0.2646893491453581,ADAM8;F2R;JCAD;LIF;SERPINF2,0.5464847011168285,1.4462168266516093,Up,GO_BP
"Retrograde Vesicle-Mediated Transport, Golgi To Endoplasmic Reticulum (GO:0006890)",2,47,264,0.2676661320157174,ERGIC1;KDELR3,0.5464847011168285,1.981624758220503,Up,GO_BP
T Cell Activation (GO:0042110),2,47,264,0.2676661320157174,CASP8;LFNG,0.5464847011168285,1.981624758220503,Up,GO_BP
Positive Regulation Of Proteolysis (GO:0045862),2,47,264,0.2676661320157174,CASP8;STUB1,0.5464847011168285,1.981624758220503,Up,GO_BP
Positive Regulation Of Synaptic Transmission (GO:0050806),2,47,264,0.2676661320157174,BAIAP3;SHANK3,0.5464847011168285,1.981624758220503,Up,GO_BP
Regulation Of Macromolecule Biosynthetic Process (GO:0010556),2,47,264,0.2676661320157174,S100A9;ULK1,0.5464847011168285,1.981624758220503,Up,GO_BP
Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001236),2,47,264,0.2676661320157174,SP100;TRAF1,0.5464847011168285,1.981624758220503,Up,GO_BP
Negative Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903321),2,47,264,0.2676661320157174,ISG15;TNFAIP3,0.5464847011168285,1.981624758220503,Up,GO_BP
Negative Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090101),3,84,264,0.26960995415547867,GPR155;NBL1;STUB1,0.5464847011168285,1.6631493506493507,Up,GO_BP
Positive Regulation Of Autophagy (GO:0010508),3,85,264,0.2754482606049332,OPTN;TICAM1;ULK1,0.5464847011168285,1.643582887700535,Up,GO_BP
Endosome To Lysosome Transport (GO:0008333),2,48,264,0.2756661234752914,BIN1;DTX3L,0.5464847011168285,1.9403409090909092,Up,GO_BP
Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0008277),2,48,264,0.2756661234752914,GNG4;RGS11,0.5464847011168285,1.9403409090909092,Up,GO_BP
Cellular Response To Lipid (GO:0071396),4,124,264,0.27649261115888424,PID1;TICAM1;TNFAIP3;WNT5A,0.5464847011168285,1.502199413489736,Up,GO_BP
B Cell Receptor Signaling Pathway (GO:0050853),1,15,264,0.27805383354201163,RFTN1,0.5464847011168285,3.1045454545454545,Up,GO_BP
Sterol Transport (GO:0015918),1,15,264,0.27805383354201163,OSBPL5,0.5464847011168285,3.1045454545454545,Up,GO_BP
Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193),1,15,264,0.27805383354201163,OPRL1,0.5464847011168285,3.1045454545454545,Up,GO_BP
L-amino Acid Transport (GO:0015807),1,15,264,0.27805383354201163,SLC1A1,0.5464847011168285,3.1045454545454545,Up,GO_BP
Positive Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904031),1,15,264,0.27805383354201163,PKD1,0.5464847011168285,3.1045454545454545,Up,GO_BP
Neuropeptide Signaling Pathway (GO:0007218),1,15,264,0.27805383354201163,OPRL1,0.5464847011168285,3.1045454545454545,Up,GO_BP
Amyloid Fibril Formation (GO:1990000),1,15,264,0.27805383354201163,B2M,0.5464847011168285,3.1045454545454545,Up,GO_BP
Endothelial Cell Development (GO:0001885),1,15,264,0.27805383354201163,MYADM,0.5464847011168285,3.1045454545454545,Up,GO_BP
Negative Regulation Of Axon Extension Involved In Axon Guidance (GO:0048843),1,15,264,0.27805383354201163,SEMA3B,0.5464847011168285,3.1045454545454545,Up,GO_BP
Negative Regulation Of Amyloid Precursor Protein Catabolic Process (GO:1902992),1,15,264,0.27805383354201163,BIN1,0.5464847011168285,3.1045454545454545,Up,GO_BP
Positive Regulation Of Neural Precursor Cell Proliferation (GO:2000179),1,15,264,0.27805383354201163,NES,0.5464847011168285,3.1045454545454545,Up,GO_BP
Positive Regulation Of Dendritic Spine Development (GO:0060999),1,15,264,0.27805383354201163,SHANK3,0.5464847011168285,3.1045454545454545,Up,GO_BP
Natural Killer Cell Activation (GO:0030101),1,15,264,0.27805383354201163,CASP8,0.5464847011168285,3.1045454545454545,Up,GO_BP
Cellular Defense Response (GO:0006968),1,15,264,0.27805383354201163,LGALS3BP,0.5464847011168285,3.1045454545454545,Up,GO_BP
Glycerophospholipid Catabolic Process (GO:0046475),1,15,264,0.27805383354201163,PLA2G4C,0.5464847011168285,3.1045454545454545,Up,GO_BP
Regulation Of Defense Response To Virus (GO:0050688),1,15,264,0.27805383354201163,TNFAIP3,0.5464847011168285,3.1045454545454545,Up,GO_BP
Cellular Response To pH (GO:0071467),1,15,264,0.27805383354201163,RAB11FIP5,0.5464847011168285,3.1045454545454545,Up,GO_BP
Regulation Of Chondrocyte Differentiation (GO:0032330),1,15,264,0.27805383354201163,PTHLH,0.5464847011168285,3.1045454545454545,Up,GO_BP
Regulation Of Cell-Cell Adhesion Mediated By Cadherin (GO:2000047),1,15,264,0.27805383354201163,SERPINF2,0.5464847011168285,3.1045454545454545,Up,GO_BP
Regulation Of Viral Transcription (GO:0046782),1,15,264,0.27805383354201163,IFITM3,0.5464847011168285,3.1045454545454545,Up,GO_BP
Calcium-Ion Regulated Exocytosis (GO:0017156),1,15,264,0.27805383354201163,DOC2B,0.5464847011168285,3.1045454545454545,Up,GO_BP
Positive Regulation Of Nitric Oxide Biosynthetic Process (GO:0045429),1,15,264,0.27805383354201163,KLF4,0.5464847011168285,3.1045454545454545,Up,GO_BP
Cellular Response To Unfolded Protein (GO:0034620),1,15,264,0.27805383354201163,OPTN,0.5464847011168285,3.1045454545454545,Up,GO_BP
Negative Regulation Of Ossification (GO:0030279),1,15,264,0.27805383354201163,ECM1,0.5464847011168285,3.1045454545454545,Up,GO_BP
Regulation Of Protein Processing (GO:0070613),1,15,264,0.27805383354201163,ADAM8,0.5464847011168285,3.1045454545454545,Up,GO_BP
Positive Regulation Of Calcium Ion Transmembrane Transport (GO:1904427),1,15,264,0.27805383354201163,F2R,0.5464847011168285,3.1045454545454545,Up,GO_BP
Positive Regulation Of Autophagosome Assembly (GO:2000786),1,15,264,0.27805383354201163,SNX7,0.5464847011168285,3.1045454545454545,Up,GO_BP
Positive Regulation Of Triglyceride Metabolic Process (GO:0090208),1,15,264,0.27805383354201163,MFSD2A,0.5464847011168285,3.1045454545454545,Up,GO_BP
Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051281),1,15,264,0.27805383354201163,F2R,0.5464847011168285,3.1045454545454545,Up,GO_BP
Negative Regulation Of Endothelial Cell Apoptotic Process (GO:2000352),1,15,264,0.27805383354201163,TNFAIP3,0.5464847011168285,3.1045454545454545,Up,GO_BP
Placenta Development (GO:0001890),1,15,264,0.27805383354201163,PKD1,0.5464847011168285,3.1045454545454545,Up,GO_BP
Positive Regulation Of Axon Extension (GO:0045773),1,15,264,0.27805383354201163,L1CAM,0.5464847011168285,3.1045454545454545,Up,GO_BP
Positive Regulation Of SMAD Protein Signal Transduction (GO:0060391),1,15,264,0.27805383354201163,BMP7,0.5464847011168285,3.1045454545454545,Up,GO_BP
Positive Regulation Of Rho Protein Signal Transduction (GO:0035025),1,15,264,0.27805383354201163,F2R,0.5464847011168285,3.1045454545454545,Up,GO_BP
Response To Purine-Containing Compound (GO:0014074),1,15,264,0.27805383354201163,STAT1,0.5464847011168285,3.1045454545454545,Up,GO_BP
Positive Regulation Of Cholesterol Efflux (GO:0010875),1,15,264,0.27805383354201163,PTCH1,0.5464847011168285,3.1045454545454545,Up,GO_BP
Regulation Of Macrophage Activation (GO:0043030),1,15,264,0.27805383354201163,WNT5A,0.5464847011168285,3.1045454545454545,Up,GO_BP
Cellular Response To Xenobiotic Stimulus (GO:0071466),1,15,264,0.27805383354201163,KCNH2,0.5464847011168285,3.1045454545454545,Up,GO_BP
Diacylglycerol Metabolic Process (GO:0046339),1,15,264,0.27805383354201163,DGAT1,0.5464847011168285,3.1045454545454545,Up,GO_BP
Artery Development (GO:0060840),1,15,264,0.27805383354201163,STRA6,0.5464847011168285,3.1045454545454545,Up,GO_BP
Circulatory System Development (GO:0072359),3,86,264,0.2812994322805154,CASP8;PKD1;STRA6,0.5464847011168285,1.6244714587737845,Up,GO_BP
Positive Regulation Of Protein Polymerization (GO:0032273),2,49,264,0.2836615281185335,BIN1;CDC42EP3,0.5464847011168285,1.9007421150278292,Up,GO_BP
Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730),2,49,264,0.2836615281185335,ITGA5;LIF,0.5464847011168285,1.9007421150278292,Up,GO_BP
Potassium Ion Transport (GO:0006813),2,49,264,0.2836615281185335,KCNH2;KCNMA1,0.5464847011168285,1.9007421150278292,Up,GO_BP
Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235),2,49,264,0.2836615281185335,BBC3;S100A9,0.5464847011168285,1.9007421150278292,Up,GO_BP
Positive Regulation Of Mitochondrion Organization (GO:0010822),2,50,264,0.2916488660764728,BBC3;BIK,0.5464847011168285,1.8627272727272728,Up,GO_BP
Organic Anion Transport (GO:0015711),2,50,264,0.2916488660764728,SLC4A2;SLC4A3,0.5464847011168285,1.8627272727272728,Up,GO_BP
Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666),1,16,264,0.293575764313647,CDC14B,0.5464847011168285,2.9105113636363633,Up,GO_BP
