term,overlap,set_size,query_size,p,genes,FDR,fold,direction,library
Extracellular Matrix Organization (GO:0030198),8,94,264,0.0009197384104172001,ADAM8;ADAMTS15;ADAMTS17;ADAMTS9;APLP1;COL5A1;CREB3L1;SERPINF2,0.043859540309008,3.963249516441006,Up,GO_BP
Type I Interferon-Mediated Signaling Pathway (GO:0060337),4,21,264,0.0009325203467542454,IFITM1;IFITM3;SP100;STAT1,0.043859540309008,8.87012987012987,Up,GO_BP
Development Of Primary Male Sexual Characteristics (GO:0046546),4,22,264,0.0011206783481933764,BIK;MAMLD1;SOX8;WNT5A,0.04941491091565169,8.466942148760332,Up,GO_BP
Male Gonad Development (GO:0008584),4,22,264,0.0011206783481933764,BIK;MAMLD1;SOX8;WNT5A,0.04941491091565169,8.466942148760332,Up,GO_BP
Negative Regulation Of Viral Entry Into Host Cell (GO:0046597),3,11,264,0.0014216528201997617,IFITM1;IFITM3;LY6E,0.060786428160662535,12.700413223140497,Up,GO_BP
Axon Guidance (GO:0007411),8,102,264,0.001564478528442361,KIF5C;L1CAM;NFASC;PLXNA3;SEMA3B;TUBB3;UNC5A;WNT5A,0.06317380961459909,3.6524064171122994,Up,GO_BP
Axonogenesis (GO:0007409),9,126,264,0.0015670328394833228,APLP1;KIF5C;L1CAM;NFASC;PLXNA3;SEMA3B;TUBB3;ULK1;WNT5A,0.06317380961459909,3.326298701298701,Up,GO_BP
Cellular Response To Type II Interferon (GO:0071346),4,25,264,0.0018424941201957328,IRF1;SP100;STAT1;WNT5A,0.06966247790357712,7.450909090909091,Up,GO_BP
Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034114),3,12,264,0.0018655967085097766,BMP7;KLF4;MYADM,0.06966247790357712,11.642045454545455,Up,GO_BP
Neuron Projection Guidance (GO:0097485),7,82,264,0.0018760979166094474,KIF5C;L1CAM;NFASC;PLXNA3;SEMA3B;TUBB3;WNT5A,0.06966247790357712,3.9753325942350335,Up,GO_BP
Gonad Development (GO:0008406),4,26,264,0.0021411659050846166,BIK;MAMLD1;SOX8;WNT5A,0.07662906775765235,7.164335664335664,Up,GO_BP
Chordate Embryonic Development (GO:0043009),5,43,264,0.002172333600500421,BMP7;PKD1;PTCH1;SOX8;WNT5A,0.07662906775765235,5.414904862579282,Up,GO_BP
Response To Exogenous dsRNA (GO:0043330),3,13,264,0.00238700848001683,IFIT1;RFTN1;TICAM1,0.07832718523962202,10.746503496503495,Up,GO_BP
Negative Regulation Of Viral Life Cycle (GO:1903901),3,13,264,0.00238700848001683,IFITM1;IFITM3;LY6E,0.07832718523962202,10.746503496503495,Up,GO_BP
Negative Regulation Of Cell Communication (GO:0010648),3,13,264,0.00238700848001683,IGFBP3;KIF26A;LIF,0.07832718523962202,10.746503496503495,Up,GO_BP
ERBB Signaling Pathway (GO:0038127),5,45,264,0.0026629526548382575,AREG;BTC;FAM83A;MVP;STUB1,0.08225154105298685,5.174242424242424,Up,GO_BP
Regulation Of Viral Entry Into Host Cell (GO:0046596),4,28,264,0.0028355421001206096,IFITM1;IFITM3;LGALS1;LY6E,0.08225154105298685,6.652597402597403,Up,GO_BP
Regulation Of Dendrite Development (GO:0050773),4,28,264,0.0028355421001206096,BMP7;KNDC1;MFSD2A;TNIK,0.08225154105298685,6.652597402597403,Up,GO_BP
Positive Regulation Of Interferon-Alpha Production (GO:0032727),3,14,264,0.002990126403606795,IRF5;IRF7;STAT1,0.08225154105298685,9.978896103896105,Up,GO_BP
Positive Regulation Of T Cell Cytokine Production (GO:0002726),3,14,264,0.002990126403606795,HLA-A;IL18;RSAD2,0.08225154105298685,9.978896103896105,Up,GO_BP
Positive Regulation Of Blood Coagulation (GO:0030194),3,14,264,0.002990126403606795,F2R;PLAT;SERPINF2,0.08225154105298685,9.978896103896105,Up,GO_BP
Positive Regulation Of Collagen Biosynthetic Process (GO:0032967),3,14,264,0.002990126403606795,CREB3L1;F2R;SERPINF2,0.08225154105298685,9.978896103896105,Up,GO_BP
Positive Regulation Of Collagen Metabolic Process (GO:0010714),3,14,264,0.002990126403606795,CREB3L1;F2R;SERPINF2,0.08225154105298685,9.978896103896105,Up,GO_BP
Nervous System Development (GO:0007399),14,281,264,0.003031240350641613,ADGRB1;APBA2;APLP1;DCLK1;DNER;L1CAM;MARCKS;MDGA1;NBL1;NES;NFASC;PKD1;SHANK3;SOX8,0.08225154105298685,2.3201229375606602,Up,GO_BP
Positive Regulation Of Interferon-Beta Production (GO:0032728),4,29,264,0.003234473931182083,IRF1;IRF5;IRF7;ISG15,0.08611023994147017,6.423197492163009,Up,GO_BP
Positive Regulation Of Cell Population Proliferation (GO:0008284),15,317,264,0.003552855178752908,AREG;BTC;F2R;IL18;LAMB1;LIF;NES;OSMR;PID1;PTHLH;SERPINF2;SLC35F6;SOX8;STAT1;WNT5A,0.09283478994852505,2.203541726412389,Up,GO_BP
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class I (GO:0002474),3,15,264,0.003678808817632237,B2M;HLA-A;MFSD6,0.09335515990996926,9.313636363636364,Up,GO_BP
Regulation Of Signal Transduction (GO:0009966),9,143,264,0.0037050949361858813,CD63;GNG4;IGFBP3;KIF26A;LFNG;MAPK8IP2;PTCH1;RGS11;SP100,0.09335515990996926,2.9308645899554993,Up,GO_BP
Endothelial Cell Migration (GO:0043542),4,31,264,0.004143666618263219,ID1;S100A9;STAT1;TNFRSF25,0.10080540686843797,6.008797653958944,Up,GO_BP
Apoptotic Mitochondrial Changes (GO:0008637),4,31,264,0.004143666618263219,BBC3;BIK;IFI6;IFIT2,0.10080540686843797,6.008797653958944,Up,GO_BP
Metanephros Development (GO:0001656),3,16,264,0.004456551798308227,BMP7;PKD1;PTCH1,0.10308515717070342,8.73153409090909,Up,GO_BP
Regulation Of Collagen Biosynthetic Process (GO:0032965),3,16,264,0.004456551798308227,CREB3L1;F2R;SERPINF2,0.10308515717070342,8.73153409090909,Up,GO_BP
Regulation Of Interferon-Alpha Production (GO:0032647),3,16,264,0.004456551798308227,IRF5;IRF7;STAT1,0.10308515717070342,8.73153409090909,Up,GO_BP
External Encapsulating Structure Organization (GO:0045229),5,51,264,0.004613804271794172,ADAMTS15;ADAMTS17;ADAMTS9;APLP1;COL5A1,0.10386592266968431,4.565508021390374,Up,GO_BP
Negative Regulation Of Intracellular Signal Transduction (GO:1902532),10,176,264,0.004711140362055135,BMP7;CASP8;DDIT4;MAP2K3;MYADM;NUAK1;NUAK2;PDE10A;STAT1;TNFAIP3,0.10386592266968431,2.6459194214876036,Up,GO_BP
Apoptotic Process (GO:0006915),10,176,264,0.004711140362055135,BBC3;BIK;CASP4;CASP8;DDIT4;IFI6;IFIT2;IRF1;NOX5;TNFRSF25,0.10386592266968431,2.6459194214876036,Up,GO_BP
Extracellular Structure Organization (GO:0043062),5,52,264,0.005016995108677078,ADAMTS15;ADAMTS17;ADAMTS9;APLP1;COL5A1,0.10890738612835936,4.47770979020979,Up,GO_BP
Negative Regulation Of Cell Population Proliferation (GO:0008285),13,271,264,0.005776125886127952,ADGRB1;B2M;F2R;IFIT3;IFITM1;IGFBP3;IRF1;NACC2;PTHLH;TNFAIP3;ULK1;WNK2;WNT5A,0.12231968044704032,2.23389802079839,Up,GO_BP
Plasma Membrane Bounded Cell Projection Morphogenesis (GO:0120039),4,34,264,0.005808234294792134,BMP7;DCLK1;NBL1;TNIK,0.12231968044704032,5.478609625668449,Up,GO_BP
Negative Regulation Of Angiogenesis (GO:0016525),5,54,264,0.0058972104437785946,ADAMTS9;ADGRB1;CREB3L1;KLF4;STAT1,0.12236711670840583,4.311868686868687,Up,GO_BP
Regulation Of Postsynapse Organization (GO:0099175),3,18,264,0.006291493940371764,KIF1A;SHANK3;WNT5A,0.12816261750556673,7.761363636363637,Up,GO_BP
Regulation Of Interleukin-1 Beta Production (GO:0032651),4,35,264,0.0064490048496777036,CASP8;F2R;TNFAIP3;WNT5A,0.12816261750556673,5.322077922077923,Up,GO_BP
Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0010803),4,35,264,0.0064490048496777036,CASP4;CASP8;TNFAIP3;ULK1,0.12816261750556673,5.322077922077923,Up,GO_BP
Regulation Of Cell Adhesion (GO:0030155),7,103,264,0.0066944079040397115,ADAM8;ARHGDIG;IL18;LAMB1;MYADM;NUAK1;PLXNA3,0.1311917993416671,3.164827890556046,Up,GO_BP
Negative Regulation Of Signal Transduction (GO:0009968),10,187,264,0.007155573250862807,CREB3L1;EGFL7;GRINA;IGFBP3;KIF26A;MAPK8IP2;PID1;PTCH1;SPRY4;TNFAIP3,0.1383084089995537,2.490277102576568,Up,GO_BP
Defense Response To Gram-positive Bacterium (GO:0050830),3,19,264,0.007354023994867065,CASP4;HLA-A;IL18,0.14022334941564094,7.3528708133971294,Up,GO_BP
Blood Circulation (GO:0008015),3,20,264,0.008516307380128473,BDKRB2;GUCY1B1;STAT1,0.15811196991264836,6.985227272727273,Up,GO_BP
Triglyceride Metabolic Process (GO:0006641),3,20,264,0.008516307380128473,DGAT1;LMF1;LPIN2,0.15811196991264836,6.985227272727273,Up,GO_BP
Endodermal Cell Differentiation (GO:0035987),3,21,264,0.009780271885690844,ITGA5;LAMA3;LAMB1,0.1769226106501254,6.652597402597403,Up,GO_BP
Muscle Tissue Development (GO:0060537),3,21,264,0.009780271885690844,PTCH1;STRA6;SVIL,0.1769226106501254,6.652597402597403,Up,GO_BP
Cellular Response To Organic Substance (GO:0071310),4,40,264,0.010355860147514448,IL18;PID1;RAMP1;SLC1A1,0.18496352744484668,4.656818181818182,Up,GO_BP
Positive Regulation Of Intracellular Signal Transduction (GO:1902533),15,359,264,0.010785967100387941,ADAM8;APOL2;BBC3;BMP7;CASP8;ECM1;F2R;IL18;JCAD;LGALS1;LIF;S100A9;TICAM1;TNFRSF25;WNT5A,0.19023749473309232,1.945745758419853,Up,GO_BP
Endoderm Formation (GO:0001706),3,22,264,0.011147576128453603,ITGA5;LAMA3;LAMB1,0.19181987703961018,6.350206611570249,Up,GO_BP
Positive Regulation Of Cytokine Production Involved In Immune Response (GO:0002720),3,22,264,0.011147576128453603,HLA-A;IRF5;WNT5A,0.19181987703961018,6.350206611570249,Up,GO_BP
Regulation Of Proteolysis (GO:0030162),4,41,264,0.01128610320588428,CASP8;CST3;PLAT;STUB1,0.1918637545000328,4.543237250554324,Up,GO_BP
Brain Development (GO:0007420),7,115,264,0.011936891017985408,DDIT4;MDGA1;MFSD2A;NES;NFASC;PTCH1;SHANK3,0.2005113479330644,2.834584980237154,Up,GO_BP
Regulation Of Interferon-Beta Production (GO:0032648),4,42,264,0.012268489055451106,IRF1;IRF5;IRF7;ISG15,0.20365691832048838,4.435064935064935,Up,GO_BP
Negative Regulation Of Protein Secretion (GO:0050709),3,23,264,0.012619623096006236,F2R;RAB11FIP5;RSAD2,0.2066526924835232,6.074110671936759,Up,GO_BP
