lambda,cv_deviance
0.026723378469868348,993.9068289815765
0.02305625667543296,994.5465067209079
0.019892356517827132,994.8233604485448
0.01716262329148922,994.8094252073822
0.014807478338807847,994.7294741735635
0.012775518697249109,994.4025297213992
0.011022395187707694,993.7005042984263
0.00950984445744362,993.5266508523304
0.008204853851150945,993.8252798860606
0.007078940882787368,994.4333798613268
0.006107531582048712,995.3701665431402
0.005269424147392318,996.3280373280222
0.0045463261993984065,997.3411820199697
0.003922455534646015,998.2978100218091
0.0033841956662306956,999.1641586302594
0.0029197986328143768,1000.0722737899391
0.002519128589772136,1001.0689204608595
0.002173440586103182,1001.9988329790144
0.00187518969873143,1002.8275596909037
0.001617866358395838,1003.5768557389032
0.0013958542729835546,1004.2298106134997
0.0012043078473665478,1004.7980318531157
0.0010390464243295228,1005.3049073977982
0.0008964630383109761,1005.7535326712175
0.0007734456904332494,1006.153168508294
0.0006673094265848008,1006.4767876188262
0.0005757377361033555,1006.7480454388235
0.0004967319920383197,1006.9855243429843
0.0004285678294848863,1007.1928211114117
0.00036975750991133583,1007.375365637027
0.00031901745005023324,1007.539204617552
0.00027524020664504423,1007.6820791547607
0.00023747030559637962,1007.8063929444612
0.0002048833879592399,1007.9142060863616
0.000176768217635613,1008.007637852574
0.0001525111580656203,1008.0885566624263
0.00013158277910831065,1008.1586000978748
0.00011352630179633701,1008.219205373669
9.794762876184741e-05,1008.2706640501259
8.450674273948933e-05,1008.313372493024
