compound,vina_kcal_mol,seconds
"NITAZOXANIDE",-5.332,14.8
"TRIMETAZIDINE",-4.178,9.4
"ESTRONE",-5.286,3.7
"GLICLAZIDE",-5.609,10.3
"BREXANOLONE",-4.867,5.9
"CICLOPIROX",-4.478,4.9
"TAVABOROLE",nan,0.0
"NEOSTIGMINE METHYLSULFATE",-4.280,5.1
"PRALIDOXIME",-4.139,2.9
"FORODESINE",-5.501,10.2
"SAXAGLIPTIN ANHYDROUS",-5.332,18.2
"TESTOSTERONE",-4.685,4.0
"MERCAPTOPURINE ANHYDROUS",-3.979,2.1
"DIAZOXIDE",-4.452,2.4
"GANCICLOVIR",-4.936,11.4
"ACYCLOVIR",-5.035,6.8
"TELBIVUDINE",-5.245,7.0
"DORZOLAMIDE",-4.689,8.0
"TOPIRAMATE",-5.520,10.2
"TOFACITINIB",-5.263,15.9
"METHSCOPOLAMINE",-4.693,19.9
"NOREPINEPHRINE",-4.426,5.1
"FAVIPIRAVIR",-4.488,3.0
"ZANAMIVIR",-4.660,24.7
"TAZOBACTAM SODIUM",-5.253,8.2
"ETHIONAMIDE",-3.658,2.7
"LETROZOLE",-5.130,9.6
"EFAVIRENZ",-4.826,6.3
"ALOGLIPTIN BENZOATE",-5.118,17.4
"FLUOXYMESTERONE",-4.668,5.4
"ALOGLIPTIN",-5.118,17.5
"NICLOSAMIDE",-5.160,8.4
"MEPHENESIN",-3.828,5.5
"MILRINONE",-5.073,4.1
"ALTRETAMINE",-3.558,4.3
"HYDROCODONE",-5.667,4.1
"ESKETAMINE",-4.163,3.8
"DIDANOSINE",-4.868,6.3
"WARFARIN",-4.797,15.9
"PHENPROCOUMON",-4.619,9.3
"DICUMAROL",-6.272,12.6
"ALLOPURINOL",-4.327,2.1
"PHENYLBUTANOIC ACID",-4.193,5.0
"TIPIRACIL",-5.236,5.7
"TRIOXSALEN",-5.482,2.9
"DANAZOL",-5.221,5.8
"BETHANECHOL",-3.814,4.4
"ALBENDAZOLE",-4.515,8.6
"URACIL MUSTARD",-4.526,7.4
"AZACITIDINE",-4.824,6.7
"TRIHEXYPHENIDYL",-4.425,15.5
"DIPHENYLPYRALINE",-4.443,11.6
"OXYPHENCYCLIMINE",-4.738,27.1
"HYDROMORPHONE",-5.670,3.8
"NIFEDIPINE",-4.778,17.4
"OMEPRAZOLE",-5.537,17.7
"ALMOTRIPTAN",-4.837,19.8
