gene,score,direction,meanLFC,LFC_GSE130437,LFC_GSE222367,LFC_GSE229235,consistent
MAPK8IP2,9.259781124852923e-06,Up,3.638495769287529,3.0581879650378356,3.3304729389352214,4.52682640388953,True
KRT81,1.7193068431142395e-05,Up,3.0409056802137004,6.79743730576001,8.169679753255858,-5.844400018374767,False
ADGRB1,8.135557085083722e-05,Up,3.20851132248295,1.0896551885123347,4.1206412870814875,4.415237491855027,True
FAM171A1,0.00012028737638173042,Up,1.6981478622329267,2.7847518979918333,4.796579107394037,-2.4868874186870897,False
FBLN1,0.0001425912060543784,Up,3.1920245350953054,-0.35543252285770355,6.423556550231648,3.507949577911972,False
DDX60L,0.00016055965418738282,Up,2.854446669954678,4.136275719950859,0.8283612251477457,3.59870306476543,True
KLF13,0.0001785522554394317,Up,2.992894551189336,1.7603693302816357,1.9139932626943617,5.304321060592011,True
TMSB10,0.00036646384450862306,Up,1.8561903807641225,1.0798669129350162,2.550480964420289,1.938223264937062,True
SPOCK1,0.00037944420857909784,Up,2.1447651179543072,2.9354693937413474,4.509226656492851,-1.010400696371277,False
CTSO,0.00040836938334789076,Up,1.8205900214937039,3.091770098610743,-0.5459057283976217,2.9159056942679897,False
FADS3,0.0006652184237688716,Up,1.9892120422709947,0.223595971683541,3.1063874694693334,2.6376526856601092,True
DOC2B,0.0006784019404340158,Up,2.05911852129152,1.6482726416695903,1.908683130094867,2.6203997921101023,True
TJP1,0.0007320048768039009,Up,1.979918563036337,-0.555155736010041,0.6649407755491507,5.829970649569901,False
IGFBP3,0.0007320048768039009,Up,2.4336439283687374,5.016962119436294,2.0414636892135025,0.24250597645641572,True
PID1,0.0008081707641593383,Up,2.2947032145459927,1.3449590719227782,3.322920143171299,2.216230428543901,True
AHNAK2,0.0008660995919596596,Up,2.2226029837383225,2.6582702562793825,4.802704092344135,-0.7931653974085507,False
PARP12,0.0010457209522775266,Up,2.0202715614393654,2.807576436285954,1.233308520971373,2.0199297270607697,True
RIN1,0.0010614472159968108,Up,2.38577787889755,-0.5394125617293432,4.548154706307584,3.1485914921144085,False
CASP4,0.0013113099409019452,Up,2.1653040194828908,3.137132701355051,0.6581383772288151,2.7006409798648057,True
ISG15,0.001441851354450139,Up,3.7141444860954436,2.7421007021133588,3.5179853754734793,4.8823473806994935,True
CYBA,0.0014638906703354432,Up,1.846192423429102,0.5211067554201131,8.219414283661084,-3.2019437687938916,False
SLC1A1,0.0014638906703354432,Up,3.27712751828877,5.134612354257614,0.9284991407982721,3.768271059810423,True
PPP1R26,0.0014638906703354432,Up,1.6809418291835476,-0.637169141280213,0.4539945046403526,5.226000124190503,False
SH3TC1,0.0014735227017204904,Up,2.6292525445616315,1.2739152637037572,2.6049075484506465,4.008934821530491,True
LAMB1,0.0015490095167072291,Up,2.711807104225579,2.9096480241680354,2.5339698919256026,2.691803396583099,True
MYADM,0.0016290875603135343,Up,2.1639012322969946,0.6945576345018739,1.2872446535595983,4.509901408829512,True
MARCKS,0.0016882616493099855,Up,2.762182714983265,4.521650553489169,2.8276507740704497,0.937246817390177,True
EYA2,0.001774519271652862,Up,1.9318880217581045,0.8957953056729654,0.9346398690424284,3.9652288905589197,True
OASL,0.0017796827580553723,Up,2.6298454328882137,2.7884438037956447,2.98296367456674,2.1181288203022564,True
LGALS3BP,0.0017858186303022629,Up,4.43322897736369,4.1725570380099715,2.762742551777079,6.364387342304021,True
ALDH1A3,0.0019104742597145286,Up,2.3364382935866743,2.6769380119481454,3.27481851300624,1.0575583558056376,True
CFB,0.0019529511877285832,Up,3.0268207268952207,4.688306578043932,4.085908200656236,0.3062474019854938,True
PARP14,0.0020611655888075806,Up,1.833444897765774,2.7022320039828847,-0.7154192724810374,3.5135219617954747,False
NCS1,0.0020831549564947643,Up,1.9882968027688515,-0.4624152613824398,2.887717475422191,3.5395881942668033,False
OPLAH,0.002195657390281706,Up,2.009198423810968,0.3845592810333304,-0.1835324251325451,5.826568415532119,False
FHL1,0.002195657390281706,Up,1.3200338553308602,0.4477735054687109,6.734927364630724,-3.222599304106854,False
FBXL16,0.002240312062639934,Up,2.415148442423243,2.052624331828275,2.8000074319098798,2.3928135635315737,True
PLAT,0.0022743561115795906,Up,3.3276725633690383,4.47730366591375,1.7933516192770433,3.712362404916321,True
LGALS1,0.0024426840272102936,Up,2.52899181288435,2.1046658446837636,2.535202751852894,2.947106842116392,True
ECM1,0.002468306379194704,Up,2.1995740202561787,2.658618947545137,1.785385273375356,2.154717839848042,True
ITGA5,0.002474622342328213,Up,3.275832633588115,0.8304939430573703,5.366378134944822,3.6306258227621533,True
PLA2G4C,0.0025659854916604604,Up,1.6174496276300019,1.5577446392513397,1.1355844808669209,2.159019762771745,True
MKNK2,0.0026325159845996355,Up,1.264154921135331,1.1281629749695121,0.9207428372702618,1.7435589511662184,True
CEP112,0.002775952832360401,Up,1.817949851848845,1.647965643081124,1.8666624176152884,1.939221494850122,True
DDX60,0.002821992765206986,Up,3.208493821835489,4.47099398751967,1.6027999366300028,3.551687541356793,True
APOL6,0.0029273050463297706,Up,2.744898578040772,4.543437967420252,1.2294521422844757,2.4618056244175888,True
SERPINE1,0.0029273050463297706,Up,2.6784880787777055,0.06857111895300462,9.00934180067234,-1.0424486832922275,False
LARGE1,0.0029273050463297706,Up,0.9500080883118566,-0.2132764124658286,-2.2998389217389046,5.363139599140303,False
SHANK3,0.0030838995979169588,Up,2.1490831351933037,0.39468656839170474,3.082267427699303,2.9702954094889034,True
NMNAT2,0.0030838995979169588,Up,2.1190087302455036,3.0004683519699054,3.1127394322235933,0.24381840654301248,True
CDK14,0.0031647083266532995,Up,2.725525578712802,2.108423461084882,4.2577854389881455,1.8103678360653788,True
ZNF251,0.0031989727937929103,Up,1.1790156376350545,1.0396435122100627,0.9453898155711273,1.552013585123973,True
KCNH2,0.00337003328126509,Up,2.177315430834082,1.4400209651243725,2.7220458698626517,2.3698794575152204,True
APOL2,0.003401775930286534,Up,1.8887114550299078,2.176118568964526,1.2811805254474962,2.2088352706777012,True
TMCC3,0.00349819856553223,Up,1.8759260890298843,1.7226991142148418,1.134072503076689,2.7710066497981223,True
HELZ2,0.0035634820955782534,Up,3.0700025030692473,1.9478854793189275,1.3980009227490684,5.864121107139745,True
EID1,0.003658833648166715,Up,2.015015630494422,-0.2951852899486437,0.1197679634556485,6.220464217976261,False
EHF,0.003658833648166715,Up,-0.0740747496489993,4.477350004747816,-6.817284822784693,2.117710569089879,False
COL5A1,0.003658833648166715,Up,4.2462326680306335,0.256015965092498,8.14890498146295,4.333777057536453,True
FAM83A,0.0037048959452516015,Up,2.657071226001753,1.5212523719214477,2.336832526608762,4.113128779475049,True
MAP1B,0.0037592188689863637,Up,2.62202834037989,4.218109477815537,3.9684250773880065,-0.32044953406387444,False
ALDH3B2,0.003848264017974597,Up,-0.23865094983720544,2.237189819282394,-7.1082698957542325,4.155127226960222,False
PLEK2,0.003972308173075736,Up,1.1169660948725737,1.049209795029166,0.9376176318638515,1.364070857724704,True
GNAI1,0.004029435388562013,Up,1.9216621494474928,2.3134272747530606,4.081888197445783,-0.6303290238563656,False
UBE2F,0.004043346293521025,Up,1.1260460442709925,0.6049892003834175,1.0763052663491772,1.6968436660803832,True
IRF1,0.004061237180434851,Up,2.0120454109315173,2.170228777541355,1.5547910621364458,2.311116393116752,True
IL4R,0.004090738187519048,Up,2.4979306698559665,0.9026360590486048,1.555376466193872,5.035779484325423,True
ZNF320,0.00439024320547962,Up,-0.023772325695585184,4.95585236858098,-4.274278536431932,-0.7528908092358041,False
CAV1,0.00439024320547962,Up,0.5780818811711774,-4.9925281612756915,8.212059544462512,-1.4852857396732886,False
CHCHD5,0.00439024320547962,Up,1.3462534572982339,0.09295042377555489,-0.3430663336580305,4.288876281777177,False
GPR155,0.004420737950346655,Up,1.1022481392078787,1.0785551986503992,1.1602955234882717,1.0678936954849652,True
RASSF2,0.004652178058068002,Up,1.5593925745905513,1.426194713411899,0.9373503744177165,2.314632635942038,True
ARSJ,0.004761913674571754,Up,1.16284640809395,2.077135854380645,2.2083938929546894,-0.7969905230534843,False
FBXO32,0.004861888639488006,Up,0.02254316293814747,2.5423337109114694,2.148704226921852,-4.623408449018879,False
TMEM51,0.00488142372091955,Up,1.3998383245281072,0.7731729529535311,0.8948048210791975,2.531537199551593,True
PODXL2,0.004922045624810451,Up,1.7143542361628274,0.6622188035839477,1.3688431716297924,3.112000733274743,True
NUAK2,0.004973139118306654,Up,1.6785939451319214,1.2077781888132764,2.2182890736548915,1.6097145729275966,True
MEGF6,0.004983400062361035,Up,2.408626909609605,0.6093919394403648,2.7114573481989215,3.9050314411895277,True
MAP7D2,0.005099135615549439,Up,0.5152807178973243,1.4004440285113922,2.1444874195547854,-1.9990892943742045,False
COL6A2,0.005121533727955566,Up,1.9004412537742417,1.580842522546469,8.845068906893243,-4.724587668116986,False
ABR,0.005121533727955566,Up,2.6446487246636576,-0.046645665100406686,1.5725300595584208,6.408061779532959,False
RSAD2,0.005121533727955566,Up,2.394202382931046,4.962596378692091,1.0257836214027756,1.194227148698272,True
EFHD2,0.00569842269549569,Up,1.6319098355257868,0.6153385596641712,2.459958419160539,1.8204325277526507,True
SLC37A3,0.005771076814598337,Up,1.1507350074233593,2.1339978345964803,1.1738321071855122,0.14437508048808506,True
RABL2B,0.005852705225281632,Up,1.2336090249086438,0.013851858808298218,0.13483387333242988,3.5521413425852035,True
COL6A1,0.005852705225281632,Up,2.1232611859110873,1.789387301862014,8.689608725787759,-4.109212469916511,False
DTX3L,0.005954689439089994,Up,1.372290041988436,1.461828029646204,0.08627017766794162,2.568771918651162,True
RRAGD,0.006066212120008346,Up,0.9239730345828229,1.8959051306870822,2.5945753118654644,-1.718561338804078,False
BLACAT1,0.006103612081773397,Up,1.0839804868710274,1.5424176083633678,2.6630323224720933,-0.9535084702223787,False
OPRL1,0.006356060441664112,Up,1.0091929016300487,0.8171240316560621,0.7945982574611087,1.4158564157729758,True
CREB3L1,0.006522454515861129,Up,3.8045273013416163,5.03483470267559,3.4374191379388153,2.9413280634104444,True
CDH2,0.006583757707144898,Up,1.876261368822618,0.5624223256042594,5.743487671215553,-0.6771258903519592,False
FAN1,0.006583757707144898,Up,1.337957921704695,-0.39056321608586164,0.3176081990526564,4.086828782147291,False
PTCH1,0.006756659393662797,Up,1.0626426436548224,1.5770302041577398,1.2965032812503454,0.31439444555638213,True
KIAA0930,0.006788162332664807,Up,0.9463370426920537,0.7231348050035068,0.6913352190611579,1.4245411040114964,True
PLAGL1,0.006796087423087046,Up,0.17628574526488658,1.556638101154646,4.191476914370372,-5.219257779730358,False
KNDC1,0.006902353343940222,Up,2.1135590095546557,2.3953994768326896,1.6382548020898664,2.3070227497414106,True
SARDH,0.006953513260128313,Up,1.5471843315065221,0.9330028593906408,1.4335999683493978,2.274950166779528,True
OSBPL5,0.007035017135327816,Up,1.9424114216854376,1.0430337556875555,1.8655974090994993,2.918603100269258,True
TP73,0.007314691183232443,Up,1.3638618110488256,-1.4837627275541996,1.1968652220537448,4.378482938646932,False
STARD9,0.007314691183232443,Up,0.9040874047170216,0.12684647553215916,3.975200160716509,-1.3897844220976034,False
GUCY1B1,0.007314691183232443,Up,2.031324013777086,4.136615051031312,0.96336081440927,0.9939961758906757,True
RNF144A,0.007438777935652628,Up,2.190061003904426,0.626077311812141,3.021484507514538,2.9226211923865995,True
LIF,0.0076500305564899925,Up,1.9627441760209194,1.4161904293892567,3.9406991961296782,0.5313429025438228,True
IFIH1,0.007691928810645227,Up,1.316045138132733,2.2821884269364374,-0.9768203157826841,2.6427673032444456,False
SLCO4A1,0.007776061479999981,Up,2.597123633956292,-0.4795964693769779,3.4203783187790973,4.850589052466757,False
FAM53A,0.007848412961812613,Up,0.8399081109372041,1.0523919460925555,0.8167532147843716,0.6505791719346851,True
SLC2A10,0.007860642234919384,Up,1.8270702162536168,1.7955459815150097,-0.9060434123896199,4.591708079635461,False
TGFBI,0.008045505663231348,Up,2.606430900491064,2.2634528944912207,7.499040326774975,-1.9432005197930038,False
ZNF486,0.008045505663231348,Up,-0.3547903658367389,-2.641317377178437,-1.4584908427081058,3.0354371223763255,False
RORC,0.008045505663231348,Up,2.0044963445161765,3.733387390363597,-0.9180535971820871,3.1981552403670195,False
KRT6A,0.008246796535161981,Up,1.7384296294758073,1.6517360837519388,6.6361952126714066,-3.072642407995923,False
PSD3,0.008333838990182125,Up,1.4474974849751556,2.140498761263528,0.13396618343448552,2.068027510227454,True
ANKH,0.008333838990182125,Up,0.6035781179522681,2.5580002917555413,1.8441729611557043,-2.591438899054441,False
LFNG,0.008490638964369688,Up,2.544095817224042,0.7138156890558189,1.6526162665707675,5.265855496045541,True
DCLK1,0.008667624063408269,Up,2.337747248172709,0.6599098117532597,2.7990647912582194,3.554267141506647,True
ID1,0.008686478041413379,Up,2.0255616274018755,2.6260397175379624,3.1882935948007374,0.26235156986692604,True
PLEC,0.008771992275635535,Up,1.991564390746409,1.3881353043245963,2.436383382344266,2.150174485570364,True
NFATC1,0.008776201156828697,Up,1.6888172362468545,0.10104670171405503,0.5237174780635985,4.44168752896291,True
RECK,0.008776201156828697,Up,0.17299849056189073,0.3755728071165744,3.213928220234836,-3.070505555665738,False
PLXNA3,0.00901368703565291,Up,1.0141331154335766,1.3728307120026615,0.6429306089634564,1.0266380253346121,True
ZNF746,0.009090116989575507,Up,1.0636978282412182,0.7544020453881479,0.7448097787500768,1.6918816605854297,True
CHPF,0.009228777419197073,Up,1.294315940073094,1.4397703557639563,0.9835039959396477,1.4596734685156771,True
GPR153,0.009244270606932092,Up,1.3996462292711687,0.9255392222446625,1.5599854215325326,1.7134140440363108,True
CD63,0.0093844903173586,Up,1.155268628927767,1.0828705413362605,0.7967106461893847,1.5862246992576556,True
CMPK2,0.00950677767371156,Up,2.3770259283520705,3.634573366408197,1.2832023472206244,2.2133020714273903,True
ULK1,0.00950677767371156,Up,1.2073310768281822,0.2327699527560677,0.5057761551658143,2.8834471225626648,True
APBA2,0.00950677767371156,Up,2.127793579212357,0.7631068357650969,3.9811642571867254,1.6391096446852473,True
IRF7,0.009526120834717499,Up,1.479133377076278,1.422805030009332,1.0357947318196057,1.9788003693998968,True
SP6,0.009599306039899294,Up,0.8660752922118992,1.8823003254753676,-1.413814600600556,2.129740151760886,False
IRF5,0.009834470784609174,Up,1.844725398373783,1.4749346172392026,0.7887431730723444,3.2704984048098016,True
NOL4L,0.009943265210894624,Up,1.3237607587151605,0.8914946905103154,1.3493125774580605,1.7304750081771059,True
KIF1A,0.010168368352278878,Up,2.9098084085196665,3.273243726714743,2.5280084520926835,2.928173046751574,True
FOSL1,0.010237235223567023,Up,1.716817235349296,-0.20897954395708393,6.243839280806846,-0.8844080308018738,False
C2CD2,0.010237235223567023,Up,2.369867285543677,0.44865787935945517,3.252419970799566,3.40852400647201,True
WNK2,0.010272304540119855,Up,1.4261488691432838,0.85381239729492,1.1438668811203223,2.2807673290146084,True
ASPHD2,0.010405926349797926,Up,1.146518987736469,0.8846376587516555,1.0676919051189122,1.4872273993388394,True
ZNF862,0.010507704653422895,Up,1.0784718786835854,1.2504570801293742,0.022259022777609418,1.9626995331437727,True
ADAMTS15,0.010654797768377258,Up,1.940445216575067,1.3179859121270114,0.49155262511386477,4.011797112484325,True
GJA3,0.010967573816082165,Up,1.6366069430078516,1.2207012375128792,3.6494192154624923,0.0397003760481838,True
CASP8,0.010967573816082165,Up,1.4726497048976315,1.1994607139914137,0.033570441751285575,3.184917958950195,True
GRAMD2A,0.010967573816082165,Up,0.1717948166035528,3.737913532140713,-2.673724201542812,-0.5488048807872424,False
NAT8L,0.011102058265062702,Up,1.3459579445361405,1.4668087502961906,2.524159527997975,0.04690555531425606,True
NES,0.011354409148712613,Up,2.223838391451436,1.7996214434248141,2.4091961981100924,2.462697532819401,True
ACSS1,0.011558279504333135,Up,0.19453792776641063,1.2010410329222494,-3.8774817874300074,3.26005453780699,False
VAV2,0.011697793460944067,Up,0.8931479825812744,-0.5694712097082847,0.6695314670846386,2.579383690367469,False
BNIPL,0.011697793460944067,Up,-0.7431087862224661,3.4759949854585748,-3.189228063409943,-2.51609328071603,False
DNER,0.011697793460944067,Up,2.1342187655215317,1.309419516780738,3.9450344248648856,1.1482023549189715,True
DUSP1,0.011971320675670975,Up,1.5822494774459361,1.3737987519719095,3.562485989730295,-0.18953630936439622,False
SERPINB6,0.011971414343274887,Up,1.2479026524992636,0.8030906377079348,0.7007546022597756,2.2398627175300803,True
ACOX2,0.01202344736242617,Up,1.2168989173278326,1.5635600821328428,-1.192649109475817,3.2797857793264718,False
MOB3A,0.01212803154971277,Up,1.1942900865488315,0.434187170188353,1.7121677611450112,1.4365153283131304,True
TAP1,0.012285734574470825,Up,1.6379248458312885,2.5879587975509897,-0.5703657256314787,2.8961814655743545,False
DNALI1,0.012427894167839806,Up,1.6183795880227505,3.41717393016494,-2.2560981402928957,3.694062974196207,False
RAD23B,0.012427894167839806,Up,0.37077692727500616,-0.34859027156829686,-0.10774584385381848,1.5686668972471338,False
STUB1,0.012437781647519991,Up,1.1465174569415115,1.067777150033113,0.6878877387159552,1.6838874820754661,True
UBE2H,0.01249754771557941,Up,1.0848542515753616,1.2805679545036517,1.616929984509588,0.3570648157128454,True
TMPRSS3,0.012604114983726471,Up,1.2418864243817118,1.7751676188425136,-1.5516830394559686,3.5021746937585903,False
ELF4,0.012657563724388636,Up,0.7660883628318387,-0.8957186399326751,1.5848691979615246,1.6091145304666665,False
DYRK3,0.012711122510277683,Up,0.7903452715376714,1.6724434293860115,2.1996678210436276,-1.5010754358166247,False
DDIT4,0.01276479132201944,Up,1.640382850276195,1.8412487207151191,2.5683275765984117,0.511572253515054,True
TXN,0.012872458945564474,Up,0.861053220769267,-0.4966522726487085,1.2554399685724005,1.8243719663841094,False
SERPINA1,0.01292645771861943,Up,2.9004459874352952,2.4516404381135577,2.1755837287730144,4.074113795419312,True
PRRG1,0.013143552100658432,Up,1.2164547700071904,1.3692758884288816,3.2742541835864643,-0.9941657619937746,False
OAS2,0.013157875946456465,Up,2.7650461525087455,6.083364982377353,-0.7393212373311223,2.9510947124800064,False
RNASEL,0.013157875946456465,Up,0.4282183797669125,0.4317204334535413,-1.8860320138523898,2.738966719699586,False
F2R,0.013157875946456465,Up,2.7340493192668,0.9321209729077716,5.898444118902508,1.3715828659901201,True
BMP7,0.013566060960457479,Up,2.444385861456505,0.46772591673645747,4.299478300887742,2.5659533667453154,True
DHTKD1,0.013887738806481122,Up,-0.13295033810870324,-1.6413617339235216,-1.9421561464516917,3.1846668660491035,False
OTULINL,0.013887738806481122,Up,-0.1783364564015509,3.1385481945325875,-1.5470766807463345,-2.1264808829909057,False
SEL1L3,0.01415492625853389,Up,1.3611567718766546,0.44881487794031594,1.238479698642048,2.3961757390476,True
RAET1L,0.01425536821819462,Up,1.0454236342252285,1.2228799293253632,1.6333464418305863,0.28004453151973635,True
MAMLD1,0.01440349494456692,Up,2.016434155635986,1.0388147990824532,2.381604014707349,2.628883653118156,True
PHLDB2,0.014425921599953768,Up,3.168930212754562,0.13987853624381202,6.140248395518207,3.226663706501666,True
MKRN1,0.014612844816267831,Up,0.7812196943174654,0.6206428359385491,0.5803171835782996,1.1426990634355474,True
CCDC71L,0.014617482757600858,Up,1.5233386856809625,0.20931289936913552,3.5936046401217094,0.7670985175520426,True
SYBU,0.014617482757600858,Up,0.10535530100616149,3.056982618999572,-0.7283346024939891,-2.0125821134870985,False
