gene,log2FC,t,P,FDR,AveExpr,sig
ELF5,-6.373368401377677,-63.30190135981922,1.6221743861871252e-35,2.2579045281338595e-31,1.8590857913448746,Down
MAL2,-7.296606577270285,-58.42359691933181,2.1297388633007147e-34,1.4821917619141325e-30,2.32575988102724,Down
GRHL2,-6.672767658604324,-52.55264549544715,6.345712511651084e-33,2.9441990816557147e-29,2.7019615302448337,Down
SPDEF,-7.563206267739599,-49.21414901406569,5.180459128773229e-32,1.8026702653348645e-28,2.3332227712652105,Down
TMPRSS13,-5.8752907312691365,-48.081161238547956,1.0904325440639408e-31,3.0355461161651984e-28,1.7428352621315137,Down
TMEM30B,-5.942775561526492,-46.753564439863,2.6663450841705796e-31,6.185476204428383e-28,2.081455002984074,Down
FOXA1,-7.1000942391586666,-45.32999713795211,7.15142974880132e-31,1.4220107239080795e-27,3.1920522145281858,Down
ESRP1,-7.249592782868865,-42.29590192244962,6.499773061439108e-30,1.0619763623149141e-26,2.411863228447836,Down
RAB25,-6.147508391000553,-42.22296494690305,6.86671977931908e-30,1.0619763623149141e-26,1.8940079335017608,Down
GALNT3,-5.5114399437889725,-40.69882456269201,2.2103898968341337e-29,3.076641697403431e-26,1.724681545931596,Down
C9orf152,-4.695412054020831,-39.54063192588398,5.529430575446941e-29,6.996740379967816e-26,1.4434337257107528,Down
ALDH3B2,-7.1082698957542325,-39.335964962296565,6.519482150911361e-29,7.562056004877936e-26,2.165537306070923,Down
EPN3,-6.869603600461386,-38.42035826970191,1.3761374344491777e-28,1.4734197653921618e-25,2.4169444270101907,Down
SIDT1,-5.800149464807305,-38.25360776163026,1.5796015174483589e-28,1.5704623943831219e-25,2.1042061093019315,Down
FAM171A1,4.796579107394037,37.68162678651644,2.5461385265484037e-28,2.362646810068482e-25,3.466264865899326,Up
ZNF320,-4.274278536431932,-36.853140472044274,5.147512659423769e-28,4.478014294157465e-25,1.2959656761399883,Down
CYBA,8.219414283661084,36.73305132090981,5.70761642639202e-28,4.673194884644148e-25,6.144888781474268,Up
FHL1,6.734927364630724,36.2197672926754,8.907883957459805e-28,6.888268711326835e-25,4.85151805155991,Up
DENND1C,-3.91173797272331,-34.99976019308255,2.6299788121493406e-27,1.9266671098056144e-24,1.246437320044343,Down
SYK,-4.898316617417987,-34.78388271948059,3.197192049058937e-27,2.137368855288685e-24,1.5848368232835208,Down
SERPINE1,9.00934180067234,34.77443836181807,3.2247105367528114e-27,2.137368855288685e-24,7.125101215141646,Up
COL5A1,8.14890498146295,34.659386895850304,3.580219230674821e-27,2.265139612352856e-24,8.191807563451876,Up
CAV1,8.212059544462512,34.57332343775953,3.872385245876719e-27,2.3415014026766617e-24,6.207628389421512,Up
MYO5B,-4.27142753162437,-34.527634467039775,4.0373614242574806e-27,2.3415014026766617e-24,2.869266466305801,Down
AGR2,-7.65633850913804,-34.33599278264285,4.812230244362242e-27,2.592544843840232e-24,2.325075746700339,Down
SLC52A3,-4.394493840020606,-34.293107663864255,5.0056953537847525e-27,2.592544843840232e-24,1.3084888485643362,Down
COL6A2,8.845068906893243,34.288056414655664,5.029004295113604e-27,2.592544843840232e-24,8.908549691032189,Up
NPNT,-5.537695732585114,-34.05415717014967,6.2404648330110294e-27,3.10217964323859e-24,1.7104596646477916,Down
TTC9,-4.697949930307026,-33.97422131348566,6.72033724630995e-27,3.225530142461662e-24,1.9770076988342866,Down
PROM2,-5.941434144121543,-33.920506332254604,7.064014970721326e-27,3.2774674792490048e-24,2.7082892080872525,Down
DSCAM,-4.063660623935829,-33.759043280876064,8.210272907178139e-27,3.6406550705163215e-24,1.1963657484917198,Down
COL6A1,8.689608725787759,33.738416973442426,8.36992328877953e-27,3.6406550705163215e-24,8.792906002275991,Up
MARVELD3,-4.472223729841377,-32.932891400898335,1.7914275900998468e-26,7.55602443230296e-24,1.8699247116523585,Down
SPTSSB,-5.989186740329026,-32.775422642517185,2.0830226144914048e-26,8.527526991501724e-24,1.8016638518639017,Down
SULT2B1,-4.956926811924037,-32.698674711862644,2.2424501818973735e-26,8.917904023379869e-24,1.5530630962140757,Down
TMEM125,-4.25084228197322,-32.198578017134004,3.6406357681466726e-26,1.4076113682453758e-23,1.298754677930927,Down
ELAPOR1,-6.839088755307836,-32.15369170518148,3.8037932166171573e-26,1.4309458860025465e-23,3.225209644947106,Down
ANK3,-4.994737373947479,-31.88542275248485,4.9491887748406725e-26,1.8128357515001924e-23,2.2687598046466837,Down
SLC24A3,-4.774660594370673,-31.849547838424755,5.127313412954128e-26,1.8299250101258593e-23,1.4694564936021584,Down
ERBB4,-4.405040921438488,-31.758489606194747,5.609697204705673e-26,1.9520343848074568e-23,1.4345163464854165,Down
BICDL2,-4.449080095141896,-31.668507716841564,6.13240571642674e-26,2.0818769552913122e-23,1.8284673976228807,Down
ALCAM,-6.802324500113191,-31.129611592328505,1.0508349566652605e-25,3.482517086148514e-23,2.877202245665403,Down
CDH2,5.743487671215553,30.889196359552784,1.3400221490055805e-25,4.3376205330252735e-23,4.428158902226185,Up
SLC7A8,-5.059361606987732,-30.8072117305253,1.4564354715963312e-25,4.607301211170303e-23,2.3030903844006625,Down
CRB3,-3.613954236900852,-29.519672219444786,5.541095862743932e-25,1.7139225180785065e-22,1.1446973030310492,Down
P3H2,5.838886185362341,29.37442722687014,6.464471728179835e-25,1.9560648257507635e-22,4.365739764138855,Up
RNF144B,-5.088948005179855,-29.328350034102357,6.789416057582303e-25,2.010678342669959e-22,2.0158515559591335,Down
BSPRY,-5.079229908439489,-28.697989622172685,1.3377745052916684e-24,3.8792673623239026e-22,1.9385260249282024,Down
STARD9,3.975200160716509,28.444306039003504,1.7644867441198985e-24,5.012222651307116e-22,3.4342858025412726,Up
ARHGEF38,-4.1767302602671945,-28.163407290817844,2.403897171589178e-24,6.691968946269953e-22,1.4209186621910617,Down
NCAM2,-6.429016842049098,-27.92212789639036,3.142412453009573e-24,8.576321359498087e-22,1.8803561950399814,Down
TGFBI,7.499040326774975,27.687498573783536,4.085985416879466e-24,1.093708288798948e-21,7.416391765807302,Up
FREM2,-3.9239042685569068,-27.35768989128085,5.930666982207122e-24,1.5575274287800175e-21,1.2198178548833118,Down
CCBE1,5.465167745427235,27.173225939072235,7.317910760488172e-24,1.886259256948794e-21,4.0017240260239895,Up
RECK,3.213928220234836,26.776004996959603,1.1558534391595175e-23,2.9251498217566043e-21,2.2968449761251497,Up
APBA2,3.9811642571867254,26.671449370570485,1.3049816410233508e-23,3.229805514193413e-21,2.797974805933335,Up
FOSL1,6.243839280806846,26.6598887337384,1.3226446893384908e-23,3.229805514193413e-21,5.314294415969831,Up
TSPAN13,-4.9319068334729,-26.605005561236315,1.4099185662897558e-23,3.383561469687433e-21,4.343557305824633,Down
AZGP1,-6.5185575390008275,-26.36146108530822,1.8748815602066537e-23,4.423131599409562e-21,2.132494077697724,Down
CCDC170,-3.8543091393745383,-26.111897803350935,2.5171046722357246e-23,5.775446285706957e-21,1.2420621379245296,Down
GJA3,3.6494192154624923,26.107224717066146,2.5310886085790962e-23,5.775446285706957e-21,2.9745817904575156,Up
IRF6,-4.56504059029974,-26.06080242586056,2.674425844643756e-23,6.004086021225233e-21,1.4683636770567108,Down
DNER,3.9450344248648856,26.01475686063489,2.824867244847638e-23,6.2411630446086144e-21,3.0514157354669638,Up
TMEM45B,-4.874885797563798,-25.864083445938146,3.380963338790222e-23,7.353066986347048e-21,1.8256483572384705,Down
C1orf210,-3.277984870590393,-25.79709845775333,3.663269401035198e-23,7.844468737385988e-21,1.0187588144421453,Down
POU2F3,-2.6880271951643406,-25.56470083699828,4.845556114279943e-23,1.0218984174948868e-20,0.9235270106480082,Down
TTC6,-4.340075239194097,-25.537850624166154,5.0054475130524526e-23,1.0398630437936878e-20,1.4514923570222646,Down
POPDC3,4.062804599380722,25.446059670877723,5.594290854856905e-23,1.1451019765993127e-20,3.0590984913427373,Up
KRT81,8.169679753255858,25.06345149964813,8.928903987425078e-23,1.8011799217531834e-20,8.18054638906821,Up
F2R,5.898444118902508,24.991600053460573,9.755354974650673e-23,1.9397826556023246e-20,4.604985988157545,Up
PRSS22,-3.725651861120373,-24.97991936788707,9.896973444708235e-23,1.9402249771393512e-20,1.6124934667370092,Down
HS6ST3,-3.5296736619452984,-24.81836176809244,1.2087840732353093e-22,2.3368146549114265e-20,1.05946046963983,Down
DEGS2,-4.887893777456054,-24.779501447252564,1.2685702769800054e-22,2.4187985870253006e-20,3.1940541931206696,Down
ILDR1,-2.907203364752181,-24.68228544437512,1.4318400452869363e-22,2.6833091637821228e-20,0.994902288485669,Down
ALOX15,-3.891148394940836,-24.671045927916566,1.452063216063514e-22,2.6833091637821228e-20,1.182260348304512,Down
TC2N,-5.527272828113125,-24.65539456176239,1.4807155033883235e-22,2.6833091637821228e-20,2.418691984587569,Down
ADGRB1,4.1206412870814875,24.64711005580369,1.4961164973319387e-22,2.6833091637821228e-20,3.977282348567275,Up
STAP2,-4.71538869773219,-24.643070153629687,1.5036864341907146e-22,2.6833091637821228e-20,2.3014833423640932,Down
ANXA9,-5.459932481578575,-24.618364887019442,1.5508446852218321e-22,2.732431287797808e-20,3.0412213813814457,Down
