,Degree,MCC,Betweenness,Closeness,n_top,direction,meanLFC
SERPINB6,2,2.0,0.0,0.21395348837209302,0,Up,1.2479026524992636
SLC1A1,2,2.0,0.008695652173913044,0.16312056737588654,0,Up,3.27712751828877
APOL2,2,2.0,0.0,0.23208879919273462,0,Up,1.888711455029908
OSMR,2,2.0,0.0,0.27744270205066346,0,Up,1.5357823235000196
MKNK2,2,2.0,0.04458785994629241,0.2390852390852391,0,Up,1.264154921135331
RNF144A,2,2.0,0.0,0.2378490175801448,0,Up,2.190061003904426
RAB11FIP5,2,2.0,0.0,0.20535714285714285,0,Up,1.4167159877093216
IER3,2,2.0,0.008695652173913044,0.2263779527559055,0,Down,-1.375548530947034
LPIN2,2,2.0,0.008695652173913044,0.19118869492934332,0,Up,1.5473942787039154
SLC4A3,2,2.0,0.017315359787355232,0.1944209636517329,0,Up,1.4716512721798365
KCNK2,2,2.0,0.0,0.21120293847566574,0,Down,-2.934750338802704
S100A9,2,2.0,0.0001846628151925285,0.23735810113519093,0,Up,2.221469423048897
PARP4,2,2.0,0.0030681414651710327,0.2405857740585774,0,Up,1.3189866092952165
CDH3,2,2.0,0.0,0.23373983739837398,0,Down,-2.222974599618037
GRHL2,2,2.0,0.0,0.22954091816367264,0,Down,-2.565005015412295
MAL2,2,2.0,0.0,0.22954091816367264,0,Down,-3.233985630906075
PROSER2,2,2.0,0.008695652173913044,0.22704837117472854,0,Up,1.8097589967118255
DNER,2,2.0,0.00445830734040341,0.24287222808870115,0,Up,2.134218765521532
NBL1,2,2.0,0.00014440014345083646,0.18326693227091634,0,Up,1.72087761086816
ALOX15,2,2.0,0.008695652173913044,0.16106442577030813,0,Down,-1.4914072672649663
PLA2G4C,2,2.0,0.017315359787355232,0.19150707743547044,0,Up,1.617449627630002
PNOC,2,2.0,0.0,0.17651573292402148,0,,
NFATC1,2,2.0,0.0,0.27413587604290823,0,Up,1.6888172362468543
E2F7,2,2.0,0.015601335883280066,0.25109170305676853,0,Down,-1.2161117223718492
FAM83H,2,2.0,0.0032577443474588567,0.20034843205574912,0,Up,1.3980498174876832
RABL2B,2,2.0,0.0,0.1937657961246841,0,Up,1.2336090249086438
WWP2,2,2.0,0.003610000245321168,0.21062271062271062,0,Down,-1.1808145197240176
SMC4,2,2.0,0.008695652173913044,0.14180024660912455,0,Down,-1.0459070084765705
PPM1L,2,2.0,0.017315359787355232,0.16487455197132617,0,Down,-1.9785470359082475
TNIK,2,2.0,0.004674898369028125,0.1658255227108868,0,Up,1.761895879792301
UBE2F,2,2.0,0.034326941332827036,0.17306245297215953,0,Up,1.1260460442709923
MYL12A,2,2.0,0.0,0.2178030303030303,0,Up,1.2486231500342193
TNNT1,2,2.0,0.0,0.2178030303030303,0,Up,2.6390512611749206
SEMA5A,2,2.0,0.0,0.20535714285714285,0,Down,-1.5563480488375971
MAMLD1,2,2.0,0.0,0.27710843373493976,0,Up,2.016434155635986
PDE10A,2,2.0,0.005924831445557197,0.16546762589928057,0,Up,2.4840191951006894
PDE4A,2,2.0,0.0013724657173762853,0.1498371335504886,0,Up,1.7281015119461298
KCTD17,2,2.0,0.008695652173913044,0.11477045908183632,0,Up,1.1560821134073127
EFHD2,2,2.0,0.004620786453842441,0.22885572139303484,0,Up,1.6319098355257868
CDC42EP3,2,2.0,0.008695652173913044,0.24704618689581095,0,Up,1.4438687788093756
MVP,2,2.0,0.0019561349097146664,0.23092369477911648,0,Up,2.2210947348009524
DLX3,2,2.0,0.0008195688032407231,0.185334407735697,0,Down,-1.5441949977413687
FAM169A,2,2.0,0.0,0.18653690186536903,0,Down,-1.151106994857624
KBTBD8,2,2.0,0.017315359787355232,0.12943162633652222,0,Down,-1.1456521781204818
COMMD2,2,2.0,0.025859122840326564,0.1481958762886598,0,Down,-1.1069939009981442
CHPF2,1,1.0,0.0,0.14250309789343246,0,Up,1.139848029808989
DDIT4,1,1.0,0.0,0.19166666666666668,0,Up,1.640382850276195
ARSA,1,1.0,0.0,0.21821631878557876,0,Up,1.409924094903822
PHLDB2,1,1.0,0.0,0.22094140249759847,0,Up,3.168930212754562
PLEKHG5,1,1.0,0.0,0.22094140249759847,0,Up,1.4726185382221366
SMKR1,1,1.0,0.0,0.1921470342522974,0,Up,1.365774843649518
ARHGDIG,1,1.0,0.0,0.22660098522167488,0,Up,1.025492302449884
HSPA4L,1,1.0,0.0,0.21455223880597016,0,Down,-1.2384981707039922
UBE4A,1,1.0,0.0,0.21455223880597016,0,Down,-1.023378837436296
MMP16,1,1.0,0.0,0.2089009990917348,0,Down,-2.742667559833644
NFASC,1,1.0,0.0,0.20535714285714285,0,Up,1.8662268699043505
APBA2,1,1.0,0.0,0.20535714285714285,0,Up,2.127793579212357
FUT9,1,1.0,0.0,0.1658255227108868,0,Down,-2.0935815157237
VAX2,1,1.0,0.0,0.18210609659540775,0,Down,-1.00816068007731
PAIP2B,1,1.0,0.0,0.1403294691885296,0,Down,-1.17692700380763
STRIP2,1,1.0,0.0,0.18548387096774194,0,Up,1.2538923850164778
PTPRN2,1,1.0,0.0,0.20246478873239437,0,Up,2.0104037983368097
SPRY4,1,1.0,0.0,0.18473895582329317,0,Up,1.9548781725487083
GPD2,1,1.0,0.0,0.16061452513966482,0,Down,-1.260390774336798
DDAH1,1,1.0,0.0,0.2155576382380506,0,Down,-1.2390493094147776
CDKN2C,1,1.0,0.0,0.1776061776061776,0,Down,-1.149025378810545
RAB36,1,1.0,0.0,0.1625441696113074,0,Up,1.4410704921914002
FBXL16,1,1.0,0.0,0.18518518518518517,0,Up,2.415148442423243
FREM2,1,1.0,0.0,0.19279128248113997,0,Down,-2.437899535944512
MED13L,1,1.0,0.0,0.2344546381243629,0,Down,-1.2673797706918848
FAM167A,1,1.0,0.0,0.22954091816367264,0,Up,1.814151347887333
TBXAS1,1,1.0,0.0,0.1388050694025347,0,Up,1.0454661515798604
WNK2,1,1.0,0.0,0.22526934378060726,0,Up,1.4261488691432838
GRINA,1,1.0,0.0,0.22265246853823814,0,Up,1.6021572171732523
MBNL3,1,1.0,0.0,0.23541453428863868,0,Down,-2.001419212857911
AGTRAP,1,1.0,0.0,0.17638036809815952,0,Up,1.2521435718689429
ABCG1,1,1.0,0.0,0.19776440240756663,0,Up,1.5273160345822268
HMGCLL1,1,1.0,0.0,0.19776440240756663,0,Down,-1.4325810802744978
ULK1,1,1.0,0.0,0.19591141396933562,0,Up,1.2073310768281822
TGIF1,1,1.0,0.0,0.24312896405919662,0,Up,1.1421095095138485
STRA6,1,1.0,0.0,0.18210609659540775,0,Up,2.1495181972376214
PLS1,1,1.0,0.0,0.22660098522167488,0,Down,-1.430112489018822
ANP32E,1,1.0,0.0,0.1242571582928147,0,Down,-1.1101666085793231
GSTO2,1,1.0,0.0,0.22704837117472854,0,Down,-1.3220307299723506
UBE2H,1,1.0,0.0,0.17202692595362754,0,Up,1.0848542515753616
RAET1L,1,1.0,0.0,0.23735810113519093,0,Up,1.0454236342252283
TET1,1,1.0,0.0,0.2368692070030896,0,Down,-1.6732053961575566
KCTD20,1,1.0,0.0,0.10300044782803404,0,Down,-1.0546607746141408
MYCL,1,1.0,0.0,0.2368692070030896,0,Down,-1.0367869994611305
TMEM51,1,1.0,0.0,0.19827586206896552,0,Up,1.3998383245281072
TCF19,1,1.0,0.0,0.20871143375680581,0,Down,-1.2174707391498882
PERM1,1,1.0,0.0,0.18138801261829654,0,Up,1.1348712754622805
C4orf19,1,1.0,0.0,0.18548387096774194,0,Down,-1.6145157042091067
NOX5,1,1.0,0.0,0.16323633782824698,0,Up,1.2621803729187244
BTC,1,1.0,0.0,0.21256931608133087,0,Up,1.8379317691258157
MDGA1,1,1.0,0.0,0.19491525423728814,0,Up,1.2777168956429823
ADAMTS9,1,1.0,0.0,0.20871143375680581,0,Up,2.108648048412858
