gene,log2FC,t,P,FDR,AveExpr,sig
RHOJ,-4.535256064563742,-82.82559356805771,2.727089028705895e-44,3.760655770585429e-40,1.6171616547168166,Down
OTOP1,-5.53355371593533,-63.61838269568321,5.3573193038485756e-40,3.693871660003593e-36,1.9942324320562428,Down
TJP1,5.829970649569901,52.507949059987354,6.915974531667593e-37,3.179042959723204e-33,3.933052628612808,Up
ITPRIPL1,-3.8852294698843637,-49.65813581934233,5.515491240662975e-36,1.9014656052185608e-32,1.470649505154211,Down
PRSS21,-4.361808137933004,-48.900807675655734,9.765039156026763e-36,2.693197799232181e-32,1.656810797438389,Down
TRIM58,-4.026124912224214,-48.58519633061388,1.242125807006838e-35,2.854819146437383e-32,1.50572736870774,Down
ZNF662,-4.2582235445813685,-46.70552735070776,5.375753830119733e-35,1.0590235045335873e-31,1.5986575755394123,Down
RGCC,-5.107784381462014,-42.5103319453113,1.756559540783078e-33,3.0278695084248307e-30,2.3011087291353634,Down
FAM83C,-3.9171853252059354,-41.61479659462162,3.858943246997618e-33,5.912758597344128e-30,1.4433578317484554,Down
PPP1R26,5.226000124190503,41.36020630158828,4.840917021773451e-33,6.536413486267435e-30,4.567373394620481,Up
CLEC2L,-4.692186359410323,-41.27716598178688,5.213962896950093e-33,6.536413486267435e-30,2.017684012382583,Down
CDO1,-3.912475293759323,-40.782744926727695,8.136200287994866e-33,8.833937295443874e-30,1.5673083741491476,Down
LRCH2,-2.6893988160323152,-40.7570316101507,8.327859669381462e-33,8.833937295443874e-30,0.9820311864464852,Down
HAPLN1,-8.129380513379783,-40.63083474779378,9.33789502065919e-33,9.197826595349302e-30,3.1458305753063045,Down
OPLAH,5.826568415532119,40.39308924124733,1.1596100045303417e-32,1.0660681308315609e-29,4.165924784633218,Up
LAMC3,-5.965636126196915,-39.1857479233991,3.550646489064328e-32,3.060213442762318e-29,2.6141508064825985,Down
FMO2,-5.825502722932943,-38.3832326539218,7.608704678257542e-32,6.084773983058991e-29,2.464414933975626,Down
MAGEA11,-4.205009461182856,-38.33850393310453,7.942417091737623e-32,6.084773983058991e-29,1.570393843172194,Down
SMIM10,-4.099648330120148,-38.15194423221167,9.504526092574862e-32,6.898284990347754e-29,1.5749626560705452,Down
SLC38A5,-5.231214404350835,-37.69832295078415,1.4758987311567363e-31,9.775125867505275e-29,2.5677664323523524,Down
NUDT11,-4.409028620897614,-37.68954294269841,1.488597847843443e-31,9.775125867505275e-29,1.87807215382176,Down
LARGE1,5.363139599140303,36.89223546925211,3.2669303559084575e-31,2.0347118702988274e-28,3.6072903970968007,Up
CAMKV,-4.110589109704132,-36.85404365397648,3.3936456139864416e-31,2.0347118702988274e-28,1.6733167181621504,Down
PRPH2,-3.129029626105967,-36.71138851768159,3.9132802943695366e-31,2.2485056358064964e-28,1.243669582407281,Down
HIF3A,-6.4100446911876,-36.629080699126895,4.249563938757763e-31,2.344059468618782e-28,2.547821980644153,Down
NOTUM,-6.359943799993239,-36.481926930393946,4.926580722115308e-31,2.612982621460388e-28,2.92459796917585,Down
EID1,6.220464217976261,36.31665245893807,5.82030150399502e-31,2.9726651014848636e-28,4.375177219276123,Up
TSPAN2,-3.9672757027722123,-35.80685879376462,9.77785875744066e-31,4.8155954380395245e-28,1.6329962363300443,Down
ZNF215,-2.7292905060219566,-35.34284123938502,1.577468682526122e-30,7.501135562770767e-28,0.9944923880961496,Down
KRT4,-6.765079779780112,-35.23644940832971,1.761770470631781e-30,8.098271596670754e-28,2.669082590978774,Down
CPT1C,-4.598619857313174,-35.088941117793176,2.0545187793773894e-30,9.139294828262646e-28,2.5114189344911555,Down
GLYATL2,-5.609622621222903,-35.052580320293856,2.1340631796336774e-30,9.19647851473388e-28,2.456982062845739,Down
MEF2C,-5.918013173465158,-34.84752959899678,2.645715079587428e-30,1.1055882105306252e-27,2.6992550254204803,Down
MYO1G,-5.318505662154087,-34.77874485426969,2.8442556276152077e-30,1.153596620729815e-27,2.844241878217521,Down
TNFRSF10D,-5.618511688248841,-34.60635030548055,3.4118340030040126e-30,1.344262597183581e-27,2.2733278334588096,Down
NEFL,-4.214539145321091,-34.26973979142168,4.879220302426664e-30,1.8690124436239917e-27,1.556461057233713,Down
SCEL,-5.669125895375665,-34.137473444573935,5.6207029660079655e-30,2.094851186520266e-27,2.51168254420809,Down
NAP1L3,-3.543821390632052,-33.878266659242946,7.427589827642421e-30,2.6954332558733942e-27,1.4233325212191363,Down
BCL11B,-5.316023631868386,-33.629416812340956,9.72497291066136e-30,3.438650677897952e-27,2.2235415171055743,Down
ADCY4,-4.119399441323449,-33.41454113129226,1.2291497371498481e-29,4.2374937188241015e-27,1.889723113996416,Down
BIN2,-3.4753698583439907,-33.15305049644337,1.637633820399666e-29,5.508041556905218e-27,1.381197398590932,Down
ADGRE2,-3.53856393191532,-32.9458782355015,2.0587240413231428e-29,6.759477269010986e-27,1.644020604857841,Down
CHCHD5,4.288876281777177,32.41722650853745,3.714193561481948e-29,1.1911332375078155e-26,2.869935630800995,Up
KCNE2,-2.9622669624515305,-32.38230580166459,3.8630427548083815e-29,1.2107127179274451e-26,1.3534098417521452,Down
ZIM2,-3.024252765273317,-32.32462127662042,4.122458465226179e-29,1.2633044941215336e-26,1.0912124699659624,Down
GABRB2,-2.518949678182251,-32.08049435569769,5.434217183634745e-29,1.6290838035287637e-26,0.8950066058590015,Down
HOXB8,-4.826041283484735,-31.894894010571594,6.713113200932462e-29,1.9696559795927372e-26,1.9970138267803175,Down
TRO,-4.9659481968485615,-31.709079271350006,8.304549900574538e-29,2.38582798185256e-26,2.4771660137750273,Down
CYP2W1,-5.635509283278874,-31.634665561405594,9.046026028810199e-29,2.5458101823937275e-26,2.6961808166805277,Down
IGDCC4,-3.606662633280297,-31.194352921539252,1.5062725734475556e-28,4.154299757568358e-26,1.644402352376864,Down
TCEAL2,-2.83313632011617,-31.106011026587083,1.6698685034055981e-28,4.515193463130039e-26,1.0818623485172965,Down
ABR,6.408061779532959,30.966955002172334,1.9651978560485928e-28,5.211553545175018e-26,4.836753870332913,Up
EXOC3L2,-3.3786269174620003,-30.857016404801545,2.2362980189856976e-28,5.818594279587315e-26,1.4712548063687436,Down
ANGPT1,-6.962359161614934,-30.532854835544914,3.2816875617854055e-28,8.380457680929766e-26,2.9810423722750024,Down
RIC3,-2.867783711299356,-30.451918173707394,3.613606503911882e-28,9.060297034353609e-26,1.0456785062189644,Down
RABL2B,3.5521413425852035,29.934934160173682,6.72458337943367e-28,1.6559286571855412e-25,4.069676936131503,Up
CARD6,-3.029304394606362,-29.732684041083047,8.597154180979903e-28,2.050815611545889e-25,1.1596863573193361,Down
HLA-G,-5.3920306098291215,-29.729971133231736,8.625620411142971e-28,2.050815611545889e-25,1.9875069088483983,Down
AGPS,3.633713750667921,29.705065252539654,8.891515008848362e-28,2.0782032537630327e-25,4.370926039925271,Up
CD19,-2.6428859109657785,-29.60956368315869,9.991477386767415e-28,2.2963745527253774e-25,0.9847042038945649,Down
FGF7,-4.291892229988162,-29.13332165795622,1.796764546649352e-27,4.061866081687634e-25,2.167081357005605,Down
IGF2,-8.831754884761269,-28.961300355252245,2.2258157758408734e-27,4.950645088523491e-25,3.704249908596394,Down
FAM50B,-4.028236518661377,-28.935646686883683,2.298272069072342e-27,5.030662195636126e-25,5.0920153248488615,Down
FAN1,4.086828782147291,28.757848637360194,2.871670187174567e-27,6.187551856427699e-25,2.6795197961628316,Up
SLC2A4,-3.5980795604063793,-28.571242524102725,3.6328725173952775e-27,7.707278771520135e-25,1.8742090248383525,Down
VSNL1,-5.102594826263382,-28.217209497192975,5.6973384949688595e-27,1.1903984522063723e-24,2.4390770291061203,Down
SPAAR,-4.055636819234265,-28.133284144305648,6.3434523539768604e-27,1.2997060017094722e-24,1.8643716868861326,Down
MMP16,-4.1551498169966665,-28.125265626293807,6.408992611765346e-27,1.2997060017094722e-24,3.4644549580976385,Down
NDRG2,-3.8522568899641385,-27.85832092376488,9.037941410906124e-27,1.806278435599934e-24,6.037936441037947,Down
SCN4A,-3.1840801874654874,-27.171334475507948,2.2197592831866676e-26,4.3729257878777355e-24,1.1674059204795133,Down
TP73,4.378482938646932,26.947488412397433,2.988081298087909e-26,5.8036114226242626e-24,2.9532443358498566,Up
TEKT3,-5.928794563006342,-26.903291575428153,3.1695251547408636e-26,6.0705210949828484e-24,2.634706396845059,Down
COL11A1,-4.530098388641658,-26.826417399306163,3.512493904080053e-26,6.635245333871772e-24,1.6458701352494816,Down
WNT11,-4.52786869596185,-26.605131815310575,4.7283265525193994e-26,8.811300426924663e-24,2.094307368568839,Down
ZNF280B,-2.5005107819736105,-26.42079927960464,6.06712721738638e-26,1.1155424577034422e-23,1.0328882243376647,Down
CCDC80,-6.2612340861889715,-26.359355238404877,6.595171379772927e-26,1.1966764911456403e-23,3.2364099730106544,Down
ZNF486,3.0354371223763255,26.318392945522152,6.973167391276767e-26,1.2488308873468392e-23,4.544985579746131,Up
KCNJ5,-4.244499699911751,-26.27196469099163,7.428563654878717e-26,1.3133319589843268e-23,1.812119885514509,Down
KRT86,-7.239843067661007,-26.2435397576451,7.72231245994565e-26,1.347983402818361e-23,4.5463651117828,Down
UGT2B7,-3.1596732533100367,-26.082435858564672,9.627566705999241e-26,1.6595518109466193e-23,1.1893023712473971,Down
NCAM1,-5.4126075448467,-26.024457802358327,1.0425861305744352e-25,1.774970708718699e-23,2.8823671735869185,Down
GJB6,-5.068211113725355,-25.941267935748552,1.1691552342315322e-25,1.9661769122015646e-23,2.308799918123854,Down
NFATC1,4.44168752896291,25.699159560471866,1.6349633982694634e-25,2.7164030436308314e-23,3.19670542854679,Up
