name,source,smiles,MW,LogP,HBD,HBA,TPSA,RotB,QED,heavy,Lipinski_viol
OXAZEPAM,CHEMBL568,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,286.718,2.4479,2,3,61.69,1,0.8457292457729301,20,0
SULINDAC,CHEMBL15770,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1,356.41800000000006,4.365500000000003,1,2,60.36,4,0.8279102305740682,25,0
PROCAINE,CHEMBL569,CCN(CC)CCOC(=O)c1ccc(N)cc1,236.315,1.7673999999999999,1,4,55.56,6,0.6038456847188672,17,0
TRIFLUPROMAZINE,CHEMBL570,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,352.42500000000007,5.259800000000004,0,3,6.48,4,0.7410247450790446,24,1
KETOPROFEN,CHEMBL571,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,254.285,3.1057000000000015,1,2,54.37,4,0.8528036890699656,19,0
NITROFURANTOIN,CHEMBL572,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,238.15899999999996,0.07349999999999995,1,6,118.05000000000001,3,0.34574784602989994,17,0
METHICILLIN,CHEMBL575,COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,380.42200000000014,0.9490999999999996,2,6,105.17,5,0.7328552661597635,26,0
ENALAPRILAT ANHYDROUS,CHEMBL577,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,348.39900000000017,1.1261000000000003,3,4,106.94000000000001,8,0.6499831585979154,25,0
ENALAPRIL,CHEMBL578,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,376.45300000000026,1.6046,2,5,95.94000000000001,9,0.6358354158694681,27,0
LORAZEPAM,CHEMBL580,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,321.163,3.1013000000000015,2,3,61.69,1,0.847697894583369,21,0
