,MAPK8IP2,NCKAP5,FADS3,PID1,PARP12,RNF152,CASP4,MAL2,SH3TC1,LAMB1,MYADM,MARCKS,LGALS3BP,SLC1A1
0.026723378469868348,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.02305625667543296,-0.0,0.0,-0.0,0.0,-0.03214108471782368,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
0.019892356517827132,-0.0,0.0,-0.0,0.0,-0.058885136086943866,0.0,-0.0,-0.0,0.0,0.02078458803143922,-0.0,-0.0,-0.0,0.0
0.01716262329148922,-0.0,0.0,-0.0,0.0,-0.0820853021041408,0.0,-0.0,-0.0,0.0,0.04131797838604546,-0.0,-0.0,-0.0,0.0
0.014807478338807847,-0.0,0.0,-0.0,0.0,-0.09460762405548828,0.0,-0.025899314553372344,-0.0,0.0017049741058835421,0.07065432166994502,-0.0,-0.0,-0.0,0.0
0.012775518697249109,-0.0,0.0,-0.0,0.0,-0.10885076547320487,0.0,-0.06353242351043936,-0.0,0.03360167800240684,0.09433020818793134,-0.0,-0.0,0.0,0.0
0.011022395187707694,-0.0,0.0,-0.0,0.0,-0.12120767496589316,0.0,-0.09592441537352481,-0.0,0.06110857504327391,0.11519892430074744,-0.0,-0.0,0.0,0.0
0.00950984445744362,-0.0,0.0,-0.0,0.0,-0.13191522133444536,0.0,-0.12383240808469287,-0.0,0.08483232487543341,0.13355395738425138,-0.0,-0.0,0.0,0.0
0.008204853851150945,-0.0,0.0,-0.0035246025823382123,-0.0,-0.1409018759513135,-0.0,-0.14752207488679872,0.0,0.10669108123211504,0.14951374978453683,-0.0,-0.0,0.0,0.0
0.007078940882787368,-0.0069573488278247215,0.0,-0.015519177906747332,-0.0,-0.14732585369530746,-0.0,-0.17192769352008425,0.0,0.1299763124084623,0.16778908218076885,-0.012902186748995965,-0.0,0.0,0.0
0.006107531582048712,-0.019195468015308824,0.0,-0.025500695342462687,-0.0,-0.15208800530065955,-0.0,-0.1955551311491347,0.0,0.1508440964477021,0.18421096839638545,-0.026482230779740944,-0.0,0.0,0.0
0.005269424147392318,-0.030230170398985512,0.0,-0.03425297677001518,-0.0,-0.1572145701515121,-0.0,-0.21642547245001656,0.0,0.16858612343031656,0.19884442714781972,-0.03831819450837531,-0.0,0.0026728612421063965,0.0
0.0045463261993984065,-0.04213892482465943,0.0,-0.04299064493511631,-0.0,-0.16641626428186176,-0.0,-0.23666705783018785,0.0,0.18275860204553976,0.21373729946231482,-0.04874119982663026,-0.0025284032121242997,0.018916504361470035,0.0
0.003922455534646015,-0.05249180111518181,0.0,-0.05144526377195072,-0.0,-0.17305287710632225,-0.0,-0.2533017348865428,0.0,0.19525529949236148,0.23039812283365702,-0.05720687654464583,-0.013644942616206222,0.03439042906080307,0.0
